Obok Darriona w obozie zmiennokształtnych,,,,,,,,W zatopionej wieży Xardasa,,,,Na dolnym poziomie kopalni orków,,,,W jaskini bólu przy pulpicie,,,,"W jaskini bólu, blisko pulpitu"
,,,,,,,,,,,,,,,,,,,,
Na ołtarzu świątyni na bagnach,,,,,,,,,,,,"Przy wejściu do wolnej kopalni
(kopalnia nowego obozu)",,,,W zatopionej wieży Xardasa,,,,
,,,,,,,,,,,,,,,,,,,,
W cmentarzysku orków,,,,,,,,,,,,,,,,Dolina Cienia obok ducha szamana,,,,
,,,,,,,,,,,,,,,,,,,,
Górne piętro fortecy kamiennego smoka,,,,,,,,,,,,,,,,Dolina Cienia niedaleko czarnego trolla,,,,
,,,,,,,,,,,,,,,,,,,,
W namiocie Caloma w Starym Obozie Bractwa,,,,,,,,,,,,,,,,Dolina Cienia blisko kamiennego kręgu,,,,
,,,,,,,,,,,,,,,,,,,,
Dolina Cienia w jaskini ludzi,,,,,,,,,,,,,,,,,,,,
