,,,,,,,,,,,,
"Tworzenie trucizn, poziom 1",,,,,,,,,4PN,,,W co inwestować na początku?
"Tworzenie trucizn, poziom 2 (15 lvl)",,,,,,,,,6PN,,,"Zawsze po wbiciu kolejnego poziomu trucizn, należy jak najszybciej się nauczyć szybkości ticków/szans na zatrucie, jako że nawet najsilniejsze trucizny będą odstawać od poprzednich, jeśli nie będą uderzać wystarczająco często. 

Co do rozwijania postaci, to priorytetowo warto skupić się na władaniu bronią, aby szybciej i częściej wyprowadzać ataki i nabijać stacki trucizn. Wydawanie punktów czysto w statystyki nie jest tak efektywne, ze względu na karę do obrażeń fizycznych, aczkolwiek jeśli chcemy nosić najlepszy ekwipunek to 
wydanie Punktów Nauki nas nie ominie."
"Tworzenie trucizn, poziom 3 (25 lvl)",,,,,,,,,8PN,,,
"Tworzenie trucizn, poziom 4 (35 lvl oraz 2r)",,,,,,,,,12PN,,,
"Tworzenie trucizn, poziom 5 (40 lvl oraz 3r)",,,,,,,,,15PN,,,
"Śmiertelna trucizna (4lvl trucizn) - Gdy zdrowie przeciwnika spadnie poniżej 75%, siła trucizn wzrasta o 25%	",,,,,,,,,7PN,,,
"Tworzenie specjalnych trucizn (3lvl trucizn, 25lvl postaci)",,,,,,,,,10PN,,,
"Zatruwanie trolli, golemów, kamiennych strażników (3lvl trucizn, 25lvl postaci)",,,,,,,,,5PN,,,
"Szansa na spowolnienie (3lvl trucizn, 35lvl postaci)",,,,,,,,,7PN,,,
"Szansa na sparaliżowanie (4lvl trucizn, 30lvl postaci)",,,,,,,,,5PN,,,
Natychmiastowe obrażenia przy uderzeniu,,,,,,,,,3PN,,,
"Liczba ładunków na broni, poziom 1 (1lvl trucizn, 12lvl postaci)",,,,,,,,,2PN,,,"Trucizny specjalne, a zwykłe"
"Liczba ładunków na broni, poziom 2 (2lvl trucizn, 20lvl postaci)",,,,,,,,,3PN,,,"Moc trucizn specjalnych skaluje się z mocą podstawowej ""zabójczej trucizny"", więc najbardziej opłaca się w miarę możliwości zmieniać rodzaje trucizn, chociaż od 4r w górę używamy głównie magicznej, ze względu na sporą liczbę nieumarłych rozsianych po grze (ale działa też na zwykłe moby).

Trucizna specjalna zawsze będzie przewyższać obrażeniami zabójczą truciznę, pod warunkiem, że wykorzystujemy ją przeciwko odpowiedniemu przeciwnikowi."
"Liczba ładunków na broni, poziom 3 (3lvl trucizn, 30lvl postaci)",,,,,,,,,5PN,,,
"Liczba ładunków na broni, poziom 4 (4lvl trucizn, 35lvl postaci)",,,,,,,,,7PN,,,
"Liczba ładunków na broni, poziom 5 (5lvl trucizn, 45lvl postaci, 3r)",,,,,,,,,8PN,,,
"Szansa na zatrucie, poziom 1 (1lvl trucizn, 15lvl postaci)",,,,,,,,,2PN,,,
"Szansa na zatrucie, poziom 2 (2lvl trucizn, 25lvl postaci)",,,,,,,,,3PN,,,
"Szansa na zatrucie, poziom 3 (3lvl trucizn, 35lvl postaci)",,,,,,,,,4PN,,,
"Szansa na zatrucie, poziom 4 (4lvl trucizn, 45lvl postaci)",,,,,,,,,4PN,,,
"Szansa na zatrucie, poziom 5 (5lvl trucizn, 50lvl postaci, 3r)",,,,,,,,,5PN,,,
"Ilość ticków trucizny, poziom 1 (1lvl trucizn, 10lvl postaci)",,,,,,,,,3PN,,,
"Ilość ticków trucizny, poziom 2 (2lvl trucizn, 15lvl postaci)",,,,,,,,,4PN,,,
"Ilość ticków trucizny, poziom 3 (3lvl trucizn, 25lvl postaci)",,,,,,,,,5PN,,,
"Ilość ticków trucizny, poziom 4 (4lvl trucizn, 35lvl postaci)",,,,,,,,,6PN,,,
"Ilość ticków trucizny, poziom 5 (5lvl trucizn, 45lvl postaci, 3r)",,,,,,,,,7PN,,,
"Prędkość ticków trucizny, poziom 1 (1lvl trucizn, 16lvl postaci)",,,,,,,,,3PN,,,
"Prędkość ticków trucizny, poziom 2 (2lvl trucizn, 28lvl postaci)",,,,,,,,,4PN,,,
"Prędkość ticków trucizny, poziom 3 (3lvl trucizn, 36lvl postaci)",,,,,,,,,5PN,,,
"Prędkość ticków trucizny, poziom 4 (4lvl trucizn, 44lvl postaci)",,,,,,,,,6PN,,,
"Prędkość ticków trucizny, poziom 5 (5lvl trucizn, 50lvl postaci, 3r)",,,,,,,,,7PN,,,
"Szansa na dodatkowe zatrucie, poziom 1 (1lvl trucizn, 25lvl postaci)",,,,,,,,,8PN,,,
"Szansa na dodatkowe zatrucie, poziom 2 (tworzenie specjalnych trucizn, 40lvl postaci)",,,,,,,,,12PN,,,
Podsumowanie PN'ów,,,,,,,,,197,,,
RECEPTURY NA TRUCIZNY SPECJALNE:,,,,,,,,,,,,
Magiczna (na nieumarłych) - po oddaniu Necronomiconu Xardasowi (Należy zagadać 2/3 razy) lub do kupienia u Constantino za 3000 złota,,,,,,,,,,,,
"Orkowa (skuteczna na orków, jaszczuroludzi i smoki) - po misji ""Polowanie na orków"" od Falka",,,,,,,,,,,,
Zwierzęca (skuteczna na wszelkie zwierzaki i potwory) - obok Czarnego Trolla,,,,,,,,,,,,
Uniwersalna (na wszystko) - dostępna od 3 poziomu tworzenia trucizn i 28 poziomu postaci (3PN) - tworzenie wymaga 1 zwykłej trucizny i po jednej specjalnej,,,,,,,,,,,,
