,,,,,,,,,,,,,,
Totem magii,,"Strzela ognistym/magicznym pociskiem. 
Trwa 5 minut lub do zniszczenia.",,,,,,20 sekund,"40
+ 5% int na strzał
(min 1,
max 30)",7 PN ,1 skóra warga,"15x drewno 2x siarka
 2x smoła 2x ognista strzała",,
,,,,,,,,,,,,,,
Totem życia ,,"Regeneruje 1% wytrzymałości i 1% zdrowia co sekundę. 
Trwa 15 minut lub do zniszczenia.",,,,,,30 sekund,50,8 PN,5 skór wilka,"10x drewno 2x siarka
 2x smoła 3x eliksir leczniczy",,
,,,,,,,,,,,,,,
Totem lasu ,,"Przywołuje dwa duchowe wilki, które znikają wraz z totemem
po upływie 30 sekund.",,,,,,60 sekund,75,10 PN,10 skór wilka,"15x drewno 1x siarka 2x skóra wilka
 1x smoła 1x skała krystaliczna",,
,,,,,,,,,,,,,,
Totem ochrony ,,"Ściąga na siebie agro wrogów w zasięgu. 
Trwa 5 minut lub do zniszczenia.",,,,,,60 sekund,50,10 PN,2 skóry cieniostwora,"20x drewno 3x siarka 1x smoła
2x skała krystaliczna 2x stalowy pręt",,
,,,,,,,,,,,,,,
Totem skały ,,"Ogłusza wrogów na 4 sekundy. Trwa 5 minut dopóki nie ma celów do ogłuszenia, lub do czasu gdy już ich ogłuszy.",,,,,,60 sekund,75,12 PN,2 czarne perły,"15x drewno 3x siarka
3x smoła 1x skała krystaliczna",,
,,,,,,,,,,,,,,
Totem ziemi ,,"Spowalnia wrogów w zasięgu o 20%.
Trwa przez 5 minut lub do zniszczenia.",,,,,,60 sekund,50,10 PN,6 skór warga,"20x drewno 2x siarka
 1x smoła 1x skała krystaliczna",,
,,,,,,,,,,,,,,
Totem żaru ,,"Strzela małą burzą ognistą, która podpala wrogów i zadaje obrażenia obszarowe. Trwa przez 5 minut lub do zniszczenia.",,,,,,30 sekund,50,15 PN,10 skór wilka,"15x drewno 3x siarka
 3x smoła 3x skała krystaliczna",,
,,,,,,,,,,,,,,
Totem burzy,,"Strzela błyskawicą, co trzeci strzał dochodzi uderzenie fali energetycznej. Trwa przez 5 minut lub do zniszczenia.",,,,,,35 sekund,50,10 PN,10 skór gada,"15x drewno 1x skała krystaliczna
2x smoła 3x siarka 3x kwarcyt",,
