Na ołtarzu w świątyni z goblinami,,,,W chacie Grega,,,,W skrzyni w biblitoece w kanionie,,,,"Pod zawaloną kolumną zaraz przy wyjściu z budynku, z którego wchodzimy do Jarkendaru"
,,,,,,,,,,,,
Przy filarze przed świątynią ze szczurami,,,,W skrzyni w prawej odnodze przed Krukiem,,,,W sarkofagu w bibliotece w kanionie,,,,"Na lewo od budynku naprzeciw budynku, z którego wchodzimy do Jarkendaru"
,,,,,,,,,,,,
W ruinach z goblinami po drodze do świątyni z goblinami,,,,W skrzyni w biblitoece w kanionie,,,,W skrzyni w ruinach z goblinami na drodze do świątyni z goblinami,,,,W dużej jaskini z pająkami w Zapomnianym Kanionie
,,,,,,,,,,,,
"Przy ruinach z Kapitanem Thatchem
obok świątyni z goblinami",,,,W skrzyni Thorusa (Wymagana kradzież),,,,W skrzyni w świątyni z goblinami,,,,W skrzyni obok grobowca Quahodrona
,,,,,,,,,,,,
W skrzyni w bibliotece w kanionie,,,,W skarbie niedaleko magów wody,,,,W skrzyni w jaskini łączącej bagno z kanionem,,,,W skrzyni w świątyni ze szczurami
,,,,,,,,,,,,
"Skrzynia w ruinach z Kapitanem Thatchem
obok świątyni z goblinami",,,,Sprzedaje Cronos (4 rozdział),,,,W skrzyni w namiocie orków w kanionie,,,,W skrzyni za mostem obok Eremity
,,,,,,,,,,,,
W skrzyni obok bandyty Toma,,,,,,,,W magazynie Lou w karczmie Snafa,,,,W skrzyni w świątyni z goblinami
,,,,,,,,,,,,
Sprzedaje Fisk,,,,,,,,W skarbie na bagnie w małym opuszczonym obozie,,,,"Skrzynia w ruinach z Thatchem
obok świątyni z goblinami"
,,,,,,,,,,,,
"W skarbie między bagnem, a wykopaliskami",,,,,,,,2x Po wygnaniu Kruka od Saturasa (Tylko Mag Wody),,,,"Od Grega za modlitwę u Pyrokara (2 SZTUKI)
quest usunięty"
,,,,,,,,,,,,
W skrzyni w świątyni na bagnie,,,,Sprzedaje Cronos,,,,Od Abigail za oddanie jej miecza,,,,W skarbie obok świątyni kapłanów
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
W małych ruinach z goblinami na bagnie *,,,,"W pomieszczeniu z Keyronem, przy jednych z drzwi",,,,Przy pająku Agelidasie,,,,Na prawo od filara przy schodach do jaskini łączącej bagno z kanionem
,,,,,,,,,,,,
W małym budynku na prawo od brzytwiaków w Zapomnianym Kanionie *,,,,Na ołtarzu do którego modli się Kruk,,,,Na ołtarzu w jaskini w Zapomnianym Kanionie,,,,W skrzyni w jaskini łączącej bagno z kanionem
,,,,,,,,,,,,
W skarbie w kopalni z pełzaczami obok wejścia na Pustynie Adanosa *,,,,W skrzyni w lewej odnodze przed Krukiem,,,,Na końcu kopalni obok teleportu na pustynie,,,,Sprzedaje Fisk (4 Rozdział) *
,,,,,,,,,,,,
,,,,W ciele Malcolma podczas robienia misji dla Owena,,,,W zakopanym skarbie blisko bossa ogarów,,,,
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
Na ołtarzu w świątyni na bagnie,,,,,,"W skarbie Kapitana Thatcha
obok świątyni z goblinami",,,,,W skrzyni w bibliotece w kanionie,
,,,,,,,,,,,,
Na drewnianym rusztowaniu przed wejściem do kopalni u bandytów,,,,,,W skrzyni obok kapliczki Beliara przy Eremicie,,,,,Na ołtarzu w bibliotece w kanionie,
,,,,,,,,,,,,
Na ołtarzu do którego modli się Kruk,,,,,,,,,,,Na lewo od wejścia do biblioteki w kanionie,
,,,,,,,,,,,,
W skrzyni w prawej odnodze przed Krukiem,,,,,,Za oddanie Eremicie ubrania (2 SZTUKI),,,,,W jednym z namiotów w obozie orków w kanionie,
,,,,,,,,,,,,
W skrzyni w lewej odnodze przed Krukiem,,,,,,W skrzyni obok kapitana Drake'a,,,,,Na grubym filarze przed jaskinią łączącą bagno z kanionem,
,,,,,,,,,,,,
"W skrzyni na górze na bagnach, obok Brandicka",,,,,,Za jednym ze stalagmitów w jaskini w Zapomnianym Kanionie,,,,,W skrzyni w jaskini łączącej bagno z kanionem,
,,,,,,,,,,,,
W skrzyni za ruinami w których siedzi Edgor,,,,,,W skrzyni przy cieniostworze w jaskini po drodze do obozu piratów,,,,,"Po prawej stronie kanioniu, obok szczura",
,,,,,,,,,,,,
W sarkofagu w kopalni złota bandytów,,,,,,W jaskini z topielcami za Owenem,,,,,"W jaskini z pumą, obok jaskini łączącej bagno z kanionem",
,,,,,,,,,,,,
W skarbie na górze na bagnach (obok Brandicka),,,,,,Od Morgana za oddanie mu pierścienia,,,,,Na zrujnowanym budynku przed jaskinią łączącą bagno z kanionem,
,,,,,,,,,,,,
ZACHODNIE WYBRZEŻE,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Tablica Ochrony 
(przed fizycznymi 2 + 5HP)",,,,,,"Tablica Mocy
(1 siła + 1 zręczność)",,,,,"Tablica Magii
(2 mana + 2 int)",
,,,,,,,,,,,,
,,,,,,,,,,,,
Na Bagnie przy lewej ścianie przy wysepce z piedestałem,,,,,,Na skałce przy zatopionym statku obok Wyspy,,,,,W jaskini w Zatoce gdzie pijemy z druidami,
,,,,,,,,,,,,
W jaskini z Maji i Monstrum,,,,,,W jaskini z goblinami na Wyspie,,,,,Przy beczce na górnym pokładzie statku,
,,,,,,,,,,,,
Pod pniem na lewo od wejścia na Równinie,,,,,,"Na Równinie, na polance między Miejscem Rytuału, a Kanionem Trolli",,,,,"Na skałach z jaszczurami, między mostem, a Plażą Piratów",
,,,,,,,,,,,,
Za drzewem w Kanionie Trolli na Równinie,,,,,,W Dużej Świątyni na prawo od ołtarza,,,,,Na kamieniu na lewo po wejściu do Kanionu Pełzaczy,
,,,,,,,,,,,,
W Krypcie na Bagnie,,,,,,Na kamiennej półce przy wejściu do Ruin prowadzących na równinę,,,,,"W Ruinach prowadzących do równiny, w pomieszczeniu z bossem strażnikiem",
,,,,,,,,,,,,
DOLINA ASHTARA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,Tablica Łowcy (Zręczność),,,Tablica Kapłana (Mana),,,Tablica Uzdrowiciela (HP),,,Tablica Wiedzy (Inteligencja)
,,,,,,,,,,,,
Na schodkach przy których się respimy,,,Pomiędzy skrzyniami maga i wojownika na murku,,,Za budynkiem za skrzynką złodzieja,,,W wodzie obok Ashtara,,,W budynku ze skrzynką dla maga
,,,,,,,,,,,,
Przy kamiennych strażnikach obok trolla,,,W skrzyni wojownika,,,Niedaleko trolla,,,Obok Ashtara,,,Przy kamiennych strażnikach w drodze do skrzyni wojownika
,,,,,,,,,,,,
PUSTYNIA ADANOSA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
Na ołtarzu przy skrzyni z koroną Adanosa,,,,"Na dachu budynku, do którego wsadzamy fragmenty ornamentów z oaz",,,,Na półce w wieży Imaraha (3 SZTUKI),,,,Przy filarze w jednej z półek skalnych w wielkiej dziurze
,,,,,,,,,,,,
Pod drzewem naprzeciw wejścia do lokacji,,,,Na lewo przed wejściem na Zaginionego Brata,,,,Przy kolumnie obok Magolemusa,,,,W małych ruinach naprzeciw trolli i kamieni ogniskujących
,,,,,,,,,,,,
Na jednej z półek w Duzej Piramidzie,,,,Za kamieniem w obozie goblinów,,,,"W małych ruinach z nieumarłymi, w rogu mapy obok Wiezy Imaraha",,,,Obok klucza do studni w oazie w rogu mapy
,,,,,,,,,,,,
Na dużej czerwonej skale obok wiezy Imaraha,,,,Na zburzonym murku w oazie przed Adanarem,,,,Na filarze po prawo od wejścia do Dużej Piramidy,,,,"Na czerwonej skałce naprzeciw budynku, gdzie wsadzamy ornamenty z oaz"
,,,,,,,,,,,,
"Na prawo od światła, do którego się modlimy w koronie Adanosa",,,,Na zburzonym murku w dziurze z pełzaczami,,,,"Na ołtarzu do kamieni ogniskujących, między małą piramidą, a wejściem do lokacji",,,,Na półce w wiezy Imaraha
,,,,,,,,,,,,
W ruinach z bossem drake'ów,,,,Na dużej czerwonej skale przed Dużą Piramidą,,,,Na ołtarzu do kamieni ogniskujących obok wiezy Imaraha,,,,"Na jednym z piedestałów do teleportów, przy miejscu do przyzwania kamiennego straznika"
,,,,,,,,,,,,
Na zburzonych ruinach na prawo od wejścia do lokacji,,,,W ruinach z Drake obok Imaraha,,,,W budynku przy małej piramidzie,,,,Na kolumnie w jednej z oaz z Mrocznym Strażnikiem
,,,,,,,,,,,,
Pod drzewem życia,,,,W drewnianej chatce poza obozem ogrów zaraz przy wielkiej dziurze,,,,Na jednej z półek w Dużej Piramidzie,,,,Na murku w jednej z oaz z Wyższym Kapłanem Budowniczych
,,,,,,,,,,,,
We wnęce w Dużej Piramidzie,,,,W końcowym pokoju Świątyni Łez,,,,"Na ołtarzu do kamieni ogniskujących, daleko na lewo od wejścia do Dużej Piramidy",,,,"Na schodkach do budynku, w którym wsadzamy fragmenty ornamentów z oaz"
,,,,,,,,,,,,
Na kolumnie w jednym z miejsc do przyzywania kamiennych strażników,,,,W drugim pokoju Świątyni Łez,,,,"Na ołtarzu do kamieni ogniskujących, niedaleko płytki do teleportów przy jaszczurach",,,,W budynku obok oazy z kluczem do studni
,,,,,,,,,,,,
"Skrzynia za ołtarzem, do którego modli się Kruk
(2 SZTUKI)",,,,,,,,Na jednym z pulpitów w Dużej Piramidzie,,,,W skrzyni w leżu Karakusta
,,,,,,,,,,,,
W Świątyni Łez w pomieszczeniu wojownika,,,,,,,,Na zburzonej kolumnie na dole lokacji Świątyni Łez,,,,Przy pożeraczach rudy pod Świątynią Łez
,,,,,,,,,,,,
W końcowym pokoju Świątyni Łez,,,,,,,,Na kolumnie na dole lokacji Świątyni Łez,,,,Przy pożeraczach rudy pod wejściem do lokacji
,,,,,,,,,,,,
Na lewo od wejścia do Świątyni Łez,,,,,,,,W skrzyni w wieży Imaraha,,,,
,,,,,,,,,,,,
Na ołtarzu przy skrzyni z koroną Adanosa,,,,W skrzyni w oazie z Mrocznym Straznikiem,,,,W skrzyni w Dużej Piramidzie (2 SZTUKI),,,,
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
W Czyśćcu Adanosa *,,,,brak,,,,W Czyścu Adanosa *,,,,W Czyśćcu Adanosa * 
,,,,,,,,,,,,
W Świątyni Łez w pierwszym pomieszczeniu *,,,,,,,,,,,,Na ołtarzu przy skrzyni z koroną Adanosa *
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
W czyśćcu Adanosa,,,,,,W wieży Imarahra *,,,,,Po lewo przed wejściem do Świątyni za Adanarem,
,,,,,,,,,,,,
2x w wieży Imaraha,,,,,,W skrzyni w piramidzie z Berłem Adanosa *,,,,,Na ołtarzu do którego modli się Kruk,
,,,,,,,,,,,,
Na jednym z pulpitów do przeczytania w Dużej Piramidzie,,,,,,W skrzyni w budynku z mumiami między kręgiem tytana a ruinami z Ishi'Kuratem *,,,,,Na lewo od portalu do Zaginionego Brata,
,,,,,,,,,,,,
W Małej Piramidzie z Berłem Adanosa,,,,,,Na kolumnie na dole lokacji Świątyni Łez,,,,,,
,,,,,,,,,,,,
GÓRNICZA DOLINA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
W skrzyni w kuźni w Starym Obozie Bractwa,,,,W skrzyni na półce skalnej za kłodą przy Klasztorze Netbeka,,,,W skrzyni za wodospadem przy kopalni z Grimesem,,,,W jednej z chat w zewnętrznym pierścieniu Starego Obozu
,,,,,,,,,,,,
W skrzyni Malbara w Kamiennej Fortecy,,,,"Zadanie ""Ludzie w dolinie""",,,,W skrzyni w jaskini pułapce na lodowym biomie,,,,"Na ""Ząbkach"" na szczycie Starej Wieży Xardasa"
,,,,,,,,,,,,
W skrzyni w ładowni orkowego drakkaru,,,,W grobie obok jeziorka przy bramie do Zamku,,,,W skrzyni na wieży nad bramą Zamku,,,,Przy wieży koło Diego (za orkiem kusznikiem).
,,,,,,,,,,,,
W skrzyni w świątyni Yberiona w Starym Obozie Bractwa,,,,,,,,W skrzyni nad bramą za chatą Ryżowego Księcia,,,,W jednym z pomieszczeń obok Świątyni Śniącego wśród nieumarłych orków 
,,,,,,,,,,,,
W skrzyni Kamiennego Smoka,,,,,,,,W skrzyni nad bramą do Nowego Obozu,,,,Na szczycie najwyższej wieży w Zamku
,,,,,,,,,,,,
W skrzyni przy zwłokach Olava,,,,,,,,W skarbie lodowego smoka,,,,"W jaskini z goblinami obok przejścia na ""Tereny Orków"""
,,,,,,,,,,,,
W skrzyni w obozie z bandytą Grubym,,,,,,,,W skrzyni u Kreola,,,,W skrzynce z językiem orków w Starej Wieży Xardasa
,,,,,,,,,,,,
W skrzyni w namiocie Darriona w obozie zmiennokształtnych,,,,,,,,W skarbie ognistego smoka,,,,W skrzynce obok goblinów obok Opuszczonej Kopalni
,,,,,,,,,,,,
,,,,,,,,W skrzyni w chacie Cavalorna,,,,W skrzyni Ryżowego Księcia (Zadanie z ucieczką Cliffa)
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
W kopalni Silvestro *,,,,W skrzyni za namiotami w obozie Netbeka *,,,,W skrzyni w Kamiennej Fortecy przed pomieszczeniem z Teamrukiem,,,,"W skrzyni przy herszcie orków z zadania ""Przewaga Taktyczna"" *"
,,,,,,,,,,,,
,,,,W skrzyni w jaskini z kościanym cieniostworem obok Krypty Angara *,,,,Skrzynia w opuszczonej wieży strażniczej przy chacie Cavalorna,,,,W grobie obok jeziorka przy bramie do Zamku *
,,,,,,,,,,,,
,,,,W skrzyni przy wieży koło obozowiska Diego.,,,,W grobie w zniszczonej arenie przed Zamkiem,,,,"W skrzyni przy wejściu na ""Tereny Orków"" *"
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
Brak,,,,,,W skrzyni w kopalni SIlvestro *,,,,,Skrzynia obok Widma pod Wieżą Mgieł,
,,,,,,,,,,,,
,,,,,,W skrzyni przed kopalnią Silvestro *,,,,,W skrzyni obok jaskini z Almanachem z G1,
,,,,,,,,,,,,
,,,,,,,,,,,"W skrzyni obok pod górką, na której siedział Gorn w G2 u podnóża fortecy kamiennego smoka",
