KHORINIS | FARMA OSWALDA | FORT AZGAN | LAS ASASYNÓW | ETLU,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Daje Angel za quest ""Demon z nicości"" (tylko członkowie Łowców Demonów)",,,,"Daje Angel za quest  ""Pan Otchłani"" (tylko członkowie Łowców Demonów)",,,,,,,,,,
,,,,,,,,,,,,,,
JARKENDAR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
"W zniszczonej beczce na półce skalnej, nad wykopaliskami",,,W skrzyni w bibliotece w kanionie,,,W świątyni z goblinami,,,,Na ołtarzu przy królowej pełzaczy w Zapomnianym Kanionie,,,,Skrzynia w świątyni uzdrowicieli na bagnach
,,,,,,,,,,,,,,
,,,W jednej ze skrzyń w obozie orków w kanionie,,,W skrzyni obok harpii przy grobowcu Quahodrona,,,,W skarbie w jaskini z ogrami na bagnie,,,,Za królową pełzaczy w Zapomnianym Kanionie *
,,,,,,,,,,,,,,
Za wygnanie Kruka od Saturasa (Tylko jako Mag Wody),,,W skrzyni w kopalni niedaleko wejścia na Pustynie Adanosa,,,,,,,W sarkofagu Quahodrona,,,,W skrzyni łotrzyka w Dolinie Ashtara
,,,,,,,,,,,,,,
W skrzyni w świątyni ze szczurami,,,W skrzyni maga w dolinie Ashtara,,,,,,,W skrzyni wojownika w dolinie Ashtara,,,,"Od Saturasa za zadanie ""Magia Guru"""
,,,,,,,,,,,,,,
Wyciągi ze szczawiu królewskiego,,,,,,,,Mikstury niewidzialności,,,,,,
,,,,,,,,,,,,,,
"Zadanie ""Pozostałości dawnej świetności""",,,,"Zadanie ""Orkowie w Dolinie""",,,,brak,,,,,,
,,,,,,,,,,,,,,
"Od Cronosa za wykonanie zadania ""Interesy z piratami""",,,,"Zadanie ""Złoto Scatty'ego"" (4 rozdział)",,,,,,,,,,
,,,,,,,,,,,,,,
ZACHODNIE WYBRZEŻE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
Przy szkielecie w Kanionie Trolli na Równinie,,,Wypada z Szamana jaszczuroludzi,,,Wypada z bossa goblina Maji,,,,We wraku statku obok Wyspy,,,,Na dachu Dużej Świątyni *
,,,,,,,,,,,,,,
,,,Sprzedaje Kormak w 5 rozdziale,,,W skrzyni w nawiedzonej wieży obok druida,,,,W skrzyni na statku kapitana Ramara,,,,
,,,,,,,,,,,,,,
,,,"Leży przy wejściu do jaskini królowej pełzaczy w zadaniu ""Exodus""",,,Na szczycie skały na Wyspie obok Plaży Piratów,,,,Wypada z szamana jaszczuroludzi,,,,
,,,,,,,,,,,,,,
Wyciągi ze szczawiu królewskiego,,,,,,,,Mikstury niewidzialności,,,,,,
,,,,,,,,,,,,,,
"Za zadanie ""Długo wyczekiwane spotkanie""",,,,"Za zadanie ""Poszukiwania druidów""",,,,brak,,,,,,
,,,,,,,,,,,,,,
PUSTYNIA ADANOSA I JEJ PODLOKACJE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
Wypada z bossa w pokoju dla wojownika w Świątyni Łez,,,Obok bossa goblinów w ich obozie,,,W końcowym pokoju Świątyni Łez,,,,W pokoju dla maga w Świątyni Łez,,,,W drugm pomieszczeniu Świątyni Łez *
,,,,,,,,,,,,,,
W końcowym pokoju Świątyni Łez,,,W skarbcu po lewo od respu w Koszmarze Kruka,,,Na kolumnie opartej o palme na lewo od Dużej Piramidy,,,,W pokoju dla maga w Świątyni Łez,,,,
,,,,,,,,,,,,,,
W wieży Imaraha,,,Pojawia się w Czyśćcu Adanosa po przeczytaniu pulpitu,,,W Koszmarze Kruka po pokonaniu Akashy,,,,W pokoju dla wojownika w Świątyni Łez,,,,W Leżu Karakusta
,,,,,,,,,,,,,,
W skarbcu po lewo od respu w Koszmarze Kruka,,,,,,,,,,W pomieszczeniu gdzie walczymy z Akaschą w Koszmarze Kruka,,,,Pojawia się w Czyśćcu Adanosa po przeczytaniu pulpitu
,,,,,,,,,,,,,,
Wyciągi ze szczawiu królewskiego,,,,,,,,Mikstury niewidzialności,,,,,,
,,,,,,,,,,,,,,
brak,,,,,,,,Wylatuje z Im'Araha na pustyni (3 min),,,,,W skrzyni Chel'Draka w Zaginionym Bracie,
,,,,,,,,,,,,,,
GÓRNICZA DOLINA I JEJ PODLOKACJE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
Przy demonie Teamruku,,,Za zamarzniętym jeziorem na lodowym biomie,,,W starej chacie Cavalorna,,,,W namiocie Caloma w Starym Obozie Bractwa,,,,W obozie przyjaznych orków w Lodowych Górach Orków *
,,,,,,,,,,,,,,
"W mieście orków po prawo od
wejścia do kopalni",,,W skarbie Ognistego Smoka,,,W skrzyni z gadającym goblinem obok wieży Xardasa,,,,W wieży strażniczej przed Cmentarzyskiem Orków,,,,W skrzyni obok Miragula w Jaskini Bólu
,,,,,,,,,,,,,,
Za pokonanie Ur-Troca na arenie orków,,,W skrzyni w małej kopalni obok Starej Kopalni,,,W skrzyni w jaskini z jaszczuroczłekami przed Kamienną Fortecą,,,,Za oddanie Garondowi listu do lidera klanu Wysokiej Skały,,,,W małej piramidzie w Dolinie Cienia
,,,,,,,,,,,,,,
"W skrzyni w mieście orków, do której klucz ma orkowy posłaniec",,,Wypada z Likerha w Świątyni Śniącego,,,Na beczkach przy stole na dole Starej Kopalni,,,,"Od Garonda za zadanie ""Jedzenie dla paladynów""",,,,W skrzyni w kopalni w Dolinie Cienia
,,,,,,,,,,,,,,
W mieście orków przed wejściem do doliny cienia,,,Leży przy notatce do zadania Duchy Przeszłości,,,Na ołtarzu przy Drangle w Świątyni Śniącego,,,,W skrzynce pod rusztowaniem na lewo od windy w Kopalni Orków,,,,W mieście umarłych w jednym z pomieszczeń z przełącznikami
,,,,,,,,,,,,,,
"Od Vakur-Shacka w kopalni orków, jeśli zapłacimy mu złotem przy użyciu retoryki",,,W namiocie orków w Dolinie Cienia,,,W skarbcu po pokonaniu Hoshkara,,,,"Stara Kopalnia, tunel naprzeciw wejścia, skaczemy do dziury na drewnianą kładkę",,,,Przy Lodowym Młocie w Lodowych Górach Orków
,,,,,,,,,,,,,,
W jednej z odnóg w dolnym poziomie kopalni orków,,,Wypada z Xarthisiusa w Dolinie Cienia,,,W ukrytym pomieszczeniu w skrzyni w mieście umarłych,,,,Nad wejściem do pokoju z zgniatającym sufitem w Świątyni Śniącego,,,,W Lodowych Górach Orków na bramie obozu ze starszym klanu
,,,,,,,,,,,,,,
W skarbcu po pokonaniu Hoshkara,,,Daje Ur-Thrall przed Doliną CIeni,,,W mieście umarłych w jednym z pomieszczeń z przełącznikami,,,,W grobowcu nieumarłych orków w Lodowych Górach Orków,,,,"W Świątyni Śniącego niedaleko 1 notatki z zadania ""Duchy Przeszłości"""
,,,,,,,,,,,,,,
Wyciągi ze szczawiu królewskiego,,,,,,,,Mikstury niewidzialności,,,,,,
,,,,,,,,,,,,,,
"Zadanie ""Ruda Wrzoda"" (Wybór w dialogu - można hp)",,,,"Zadanie ""Orkowi przywódcy""",,,,"Wylatuje z Hush-Gora
na orkowym cmentarzu w GD (3 min)",,,,,"W skrzyni po pokonaniu Hoshkara
w Świątyni Śniącego (3 min)",
,,,,,,,,,,,,,,
"Zadanie ""Mroczne Rytuały""",,,,"Zadanie ""Ucieczka""",,,,W skrzyni za kratą na orkowym cmentarzu w GD (3 min),,,,,,
,,,,,,,,,,,,,,
"Zadanie  ""Ludzie w Dolinie""",,,,"Do wyboru w 4R jako pomoc w zadaniu ""Hosh-Pak""",,,,,,,,,,
,,,,,,,,,,,,,,
"Zadanie ""Zaginieni bez wieści""",,,,"Do wyboru w 4R jako pomoc w zadaniu ""Dowódcy orków""",,,,,,,,,,
,,,,,,,,,,,,,,
IRDORATH,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
W wielkiej hali z bossem magiem,,,W magazynie obok Pedro,,,Wypada z Dementora,,,,Wypada z Dementora,,,,brak
,,,,,,,,,,,,,,
,,,,,,,,,,2x W magazynie obok Pedro,,,,
