"Wartości na trybie SnC są obniżone o połowę. W przypadku gdy liczba jest nieparzysta to zaokrągla w górę.
Na trybie Nightmare, za bossy dające więcej niż 8PN, zawsze dostaniemy 8PN, a za bossy dające 5PN, zawsze dostaniemy 4PN",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mroczny Golem,"Golem przed wieżą Necronomiconu
(Zabijany poprzez użycie obok niego Świętego Płomienia)",,,,,,,1,,Far-Nag,Orkowy Szaman przed Biblioteką w Kanionie,,,,,,,2
Karthus,Wściekły Dzik przed jaskinią Fregyala,,,,,,,2,,Gaalar,Ogar przy wejściu do jaskini łączącej kanion z bagnem,,,,,,,2
Mirbl,Goblin w Bimbrowni Vino,,,,,,,1,,Agelidas,Pająk w jaskini łączącej kanion z bagnem,,,,,,,1
Onyks,Warg przy kapliczce na nowych terenach za Onarem,,,,,,,1,,Aramorph,Pająk w jaskini w Zapomnianym Kanionie,,,,,,,1
Zipperiusz,Demon pojawiający sie po zabiciu 20 królików,,,,,,,1,,Garantula,"Pająk w świątyni uzdrowicieli, po otwarciu skrzynki",,,,,,,1
Królowa Pełzaczy,Jaskinia na wykopaliskach Magów Wody,,,,,,,2,,Wojownik klanu,Ostatni goblin w Świątyni przy Czarnym Trollu,,,,,,,2
Antramentor,Golem w jaskini na wykopaliskach Magów Wody,,,,,,,2,,Zestoblum,Bagienny truteń przy kamiennych kolumnach niedaleko jaskini Juana,,,,,,,1
Uzdog/Utrog/Ubrog,3 Czarne Trolle na płaskowyżu obok Słonecznego Kręgu,,,,,,,3,,"Królowa polnych
pełzaczy","Pojawia się podczas misji ""Poszukiwania"" niedaleko domu uzdrowicieli",,,,,,,1
Yebak,Olbrzymi Chrząszcz w jaskini z topielcami obok jeziora za farmą Onara,,,,,,,1,,Padlinożerca,Pełzacz Wojownik w gnieździe pełzaczy w kopalni u bandytów,,,,,,,2
Ahiron,Nieumarły Mag w wieży na nowych terenach obok Xardasa,,,,,,,4,,Bloodwyn,"Bandyta, pojawia się po zabiciu pełzaczy i rozmowie z Garazem",,,,,,,2
Jorian,"Zombie w fortecy znajdującej się nad kamienną plażą
 i obok wieży z necronomiconem",,,,,,,1,,Keyron,Demon w Świątyni Adanosa,,,,,,,2
"Trakras, Widmowy cieniostwór","Widmowy Cieniostwór w kotlinie Lestera (2r. Zadanie ""Nocny Łowca"")",,,,,,,2,,Gayde,Kamienna pantera przed teleportem do Ashtara,,,,,,,2
Dzik Olbrzymi,"Dzik przy schodach do Słonecznego Kręgu (2r. Zadanie ""Dzik Barema"")",,,,,,,1,,Drake,Szkielet w jaskini na plaży obok piratów,,,,,,,3
Grimgash,Goblin w jaskini obok jeziora przy Pepe (2r.),,,,,,,2,,Shaliya,"Pająk w przepaści, którą mijamy idąc z Jackiem na polowanie",,,,,,,1
Daron,"Walka na cmentarzu (2r. Zadanie ""Nekromanta w Khorinis"")",,,,,,,1,,Starożytny kamienny strażnik,Po przeczytaniu naładowanej tabliczki w Świątyni Adanosa,,,,,,,1
Itu'Zeld,"Czarny Mag (3r. Zadanie ""Mroczna Sieć"")",,,,,,,3,,Aishar,"Widmowy Cieniostwór w Bibliotece Uczonych
(po rozmowie z Ashtarem, po zabiciu kamiennego strażnika)",,,,,,,2
Yasuo,Pojawia się na przełęczy na start 3 rozdziału,,,,,,,1,,Królowa pełzaczy,"1.W Zapomnianym Kanionie Po Prawo
 2.W Zapomnianym Kanionie idąc na wprost",,,,,,,2x2
Zębacz Królewski,"Mroczny Zębacz przy piramidzie na wykopaliskach (3r. Zadanie ""Szczęście Łowcy)",,,,,,,1,,S'enyak,"Arcydemon przywoływany po zabiciu Kruka (Zadanie ""Szpon Beliara"")",,,,,,,4
Lord Seng,Pojawia się w 3r w jaskini z notatką Wulfgara (smocza zguba w oryginalnym G2),,,,,,,3,,Dusza S'enyaka,Dusza przywołana po zamknięciu jej za pomocą Mora Ultaru,,,,,,,3
Fangarh,Orkowy Przywódca w jaskini z bandytą Brzytwą (4r),,,,,,,1,,Var-Kaz,"Szaman Orków w jednej z świątyń (Zadanie ""Orkowie w Dolinie"")",,,,,,,1
"He'Xen, Demoniczny Strażnik","Wieża Xardasa na piętrze (5r. Zadanie ""Powrót do Wieży"")",,,,,,,2,,Var-Shat,"Szaman Orków w jednej z świątyń (Zadanie ""Orkowie w Dolinie"")",,,,,,,1
Mroczny mentor,"Można go zabić, jeśli zrespiliśmy go notatką u Regiliona [nie może Mroczny Rycerz]",,,,,,,2,,Var-Khash,"Szaman Orków w jednej z świątyń (Zadanie ""Orkowie w Dolinie"")",,,,,,,1
Ilkruz,Nieumarły mag w podziemiach klasztoru (5r),,,,,,,2,,Var-Hut,"Szaman Orków w jednej z świątyń (Zadanie ""Orkowie w Dolinie"")",,,,,,,1
Lord Ulzar,"Grobowiec przy Karczmie Orlana (5r. Zadanie ""Mroczny Zakon"")",,,,,,,3,,Var-Nash,"Szaman Orków w jednej z świątyń (Zadanie ""Orkowie w Dolinie"")",,,,,,,1
Lord Mirrat,"Grobowiec przy Słonecznym Kręgu (5r. Zadanie ""Mroczny Zakon"")",,,,,,,3,,Ur-Catan,"Herszt Orków w  świątyni Adanosa (Zadanie ""Orkowie w Dolinie"")",,,,,,,3
Lord Inubis,"Grobowiec przy farmie Onara (5r. Zadanie ""Mroczny Zakon"")",,,,,,,3,,Górnicza Dolina,,,,,,,,
Lord Ginnok,"Grobowiec w kotlinie przy mieście (5r. Zadanie ""Mroczny Zakon"")",,,,,,,3,,Anansay,Pająk w lewej odnodze podziemnego przejścia do zamku,,,,,,,2
Dusza Nergala,"Przerwanie rytuału Xardasa (Zadanie ""Necronomicon"")",,,,,,,1,,Kostoglod,Zębacz przy kopalni z Grimesem,,,,,,,2
Nergal,Wieża za trollami Groma (klucz w ukrytej skrzyni u Kreola),,,,,,,2,,Agat,Lodowy wilk przed lodowym biomem,,,,,,,1
Slokers,Boss ścierwojad z zadania myśliwych,,,,,,,1,,Oktogor,Lodowy Golem na prawo od wejścia na lodowy biom,,,,,,,2
Farma Oswalda,,,,,,,,,,Królowa Pełzaczy,W Kopalni SIlvestra,,,,,,,2
Gralli,Wielki dzik w lesie za farmą,,,,,,,1,,Opal,"Lodowy Wilk w głębi lodowego biomu, pomiędzy drzewami",,,,,,,1
Mroczny Cieniostwór,Główny boss fabularny farmy Oswalda. Zabijamy go z Blizną,,,,,,,1,,Gruby,Herszt bandytów niedaleko domku cavalorna,,,,,,,2
Śmiałek Sergo,Pierwszy przeciwnik na arenie,,,,,,,1,,Przywódca Stada,Zębacz przy kopalni Fajetha (POJAWIA SIE TYLKO PO ROZMOWIE Z BILGOTEM),,,,,,,2
Włócznik Ibrahim,Drugi przeciwnik na arenie,,,,,,,1,,Teamruk,Demon w sekretnym pomieszczeniu Kamiennej Fortecy,,,,,,,1
Nożownik Loker,Trzeci przeciwnik na arenie,,,,,,,2,,Malbar,Lord Cieni pojawiający się po otwarciu jego skrzyni w Kamiennej Fortecy,,,,,,,3
Wojownik Colder,Czwarty przeciwnik na arenie,,,,,,,2,,Frolok,Herszt Jaszczuroczłeków przed Bagiennym Smokiem,,,,,,,1
Łucznik Nils,Piąty przeciwnik na arenie,,,,,,,2,,Glorok,Herszt Jaszczuroczłeków przed Kamiennym Smokiem,,,,,,,1
Mistrz trucizn Wolfgang,Szósty przeciwnik na arenie,,,,,,,2,,Lorok,Herszt Jaszczuroczłeków przed Ognistym Smokiem,,,,,,,1
Mag Idrian,Siódmy przeciwnik na arenie,,,,,,,2,,Morok,Herszt Jaszczuroczłeków przy domu Ryżowego Księcia,,,,,,,1
Kamieniarz Kald,Ósmy przeciwnik na arenie,,,,,,,2,,Vetrinus,Dzik przed drewnianym mostkiem do Klasztoru Zmiennokształtnych,,,,,,,1
Nekromanta Terokar,Dziewiąty przeciwnik na arenie,,,,,,,2,,Rush-Gar,Kapitan w kajucie Orkowego Drakkaru,,,,,,,2
Jissel Furia Świtu,Dziesiąty przeciwnik na arenie,,,,,,,3,,Resheba,Czarny Goblin przy jaskini obok Trolla w drodze na bagna,,,,,,,1
Fort Azgan,,,,,,,,,,Triax,Nieumarły SŚ przed świątynią na bagnie,,,,,,,1
Ko'Mar,Krwiopijca na szczycie góry w lokacji,,,,,,,1,,Actameron,Poszukiwacz w świątyni na bagnie,,,,,,,2
Pustynia Adanosa,,,,,,,,,,Mor'Bar,"Demon na bagnach (Zadanie ""Mroczne Rytuały"")",,,,,,,3
Quahodron,"Znajduje sie tam gdzie Gazkul (Zadanie ""Zemsta Pradawnych"")
skasowane questy",,,,,,,3,,Utur,"Troll na płaskowyżu nad Świątynią na Bagnie (Zadanie ""Nieproszony Gość"")",,,,,,,2
Amul'Sah,Starożytny strażnik przed Sanktuarium Prawdy,,,,,,,2,,Wąż Rzeczny,Na bagnach przy piedestale z miksturą,,,,,,,1
Amul'Rough,Starożytny strażnik przed Sanktuarium Prawdy,,,,,,,2,,Hosh-Pak,Orkowy Szaman na wzniesieniu niedaleko zamku,,,,,,,2
Ishar'Arh,Starożytny strażnik na placu świątynnym przy małej piramidzie,,,,,,,2,,Ruorch,Ork pilnujący wejścia do miasta orków,,,,,,,1
Sak'Shar,Starożytny strażnik w oazie niedaleko smoczego jaja,,,,,,,2,,Grokh,Ork pilnujący wejścia do miasta orków,,,,,,,1
Gazkul,Goblin na kąsaczu przy dużej czerwonej skarpie,,,,,,,2,,Grillock,"Ork na placu wymian (Zadanie ""Złoto Diega"")",,,,,,,1
Im'Arah,Nieumarły Mag w swojej wieży we wschodniej części pustyni,,,,,,,5,,Ruykyava,"Harpia w kamiennej fortecy (Zadanie ""Serce Królowej harpii"")",,,,,,,1
Ishi'Kurat,Starożytny Kolcogrzbiet w małych ruinach niedaleko studni,,,,,,,2,,Pandrodor,Bagienny Smok na Bagnach Obozu Bractwa,,,,,,,8
Shakzi,Goblin Szaman w wiosce Goblinów,,,,,,,1,,Pedrakhan,Kamienny Smok nad Kamienną Fortecą,,,,,,,7
Nurog,Czarny Troll przy Kręgu Życia,,,,,,,3,,Feomathar,"Ognisty Smok w górach między przełęczą, a kopalnią z Grimesem",,,,,,,8
Magolemus,Ognisty Golem w ramach zadań w Sanktuarium Prawdy,,,,,,,1,,Finkreght,Lodowy Smok na lodowym biomie,,,,,,,7
Amu'Has lub Malsur,Szkielet wojownik / mag w Świątyni Łez,,,,,,,3,,Lord Kaddar,Lord Cieni pojawiający się po przeczytaniu ostateniego Chromaninu,,,,,,,3
Meliax,Starożytny strażnik w Świątyni Łez,,,,,,,2,,Lokacje w Górniczej Dolinie,,,,,,,,
Araks,Kamienny Straznik na końcu Świątyni Łez,,,,,,,2,,Farrok,MIASTO ORKÓW Pilnuje wejścia do Ur-Thralla,,,,,,,1
Adanar,Smok przed Świątynią Er'Hazira (Można go zabić Krzyżem Żywiołów),,,,,,,3,,Hush-Nar,MIASTO ORKÓW Orkowy szaman,,,,,,,2
Yog'Sothoth,"Pustynny Wąż między wieżą Imaraha, a Sanktuarium Prawdy",,,,,,,2,,Ur-Thrall,MIASTO ORKÓW Wódz orków,,,,,,,4
Kajma,"Oaza po prawej stronie od wejścia do lokacji, przed Im Arahem",,,,,,,2,,Starożytny Strażnik,OPUSZCZONA KOPALNIA. Na samym dole niedaleko arcydemona,,,,,,,1
Koszmar Kruka,,,,,,,,,,Trak'Tor,OPUSZCZONA KOPALNIA. Strażnik Sfery Wody,,,,,,,3
Margot,Jaszczuroczłek (Pierwszy boss w koszmarze),,,,,,,1,,Starożytny Strażnik,ZATOPIONA WIEŻA XARDASA. Stoi na środku,,,,,,,1
Argulin,Mroczny Paladyn na cmentarzu,,,,,,,3,,Val'Zar,ZATOPIONA WIEŻA XARDASA. Strażnik Sfery Ciemności,,,,,,,3
Akascha,Tarczownik po rozmowie z Baldarem,,,,,,,3,,Shemron,"ZATOPIONA WIEŻA XARDASA. Demon, Pojawia sie po podniesieniu Sfery",,,,,,,3
Liker,Mroczny Strażnik na małym cmentarzu za skałą,,,,,,,1,,Starożytny Strażnik,"STARA KOPALNIA. Na samym dole, niedaleko Sfery",,,,,,,1
Nyarlathotep,"""Xardas""",,,,,,,3,,Dag'Kar,STARA KOPALNIA Strażnik Sfery Ognia,,,,,,,2
Druid,Druid po pokonaniu Xardasa i przekręceniu przełącznika na górze,,,,,,,3,,Shiva,STARA KOPALNIA Pająk w jednej z odnóg na dnie kopalni,,,,,,,1
Beltessor,Poszukiwacz przed odpowiedzią na pytania,,,,,,,1,,Jadowity pełzacz,"STARA KOPALNIA. Na samym dole, niedaleko Sfery",,,,,,,1
Bezimienny,Po odpowiedzeniu na zagadki,,,,,,,3,,Hush-Gor,"CMENTARZYSKO ORKÓW Ork Szaman związany z zadaniem ""Cienie Przeszłości""",,,,,,,3
Kruk,Po pokonaniu Bezimiennego,,,,,,,4,,Itu'Sed,KOPALNIA ORKÓW. Strażnik Sfery Skały,,,,,,,3
Dramdar,Demon po pokonaniu Kruka,,,,,,,2,,Irh'Tar,KOPALNIA ORKÓW. Arcydemon na arenie,,,,,,,4
Zaginiony Brat,,,,,,,,,,Lik'Her,ŚWIĄTYNIA ŚNIĄCEGO. Widmo w pomieszczeniu zamykanym przełącznikiem,,,,,,,3
Krwawy Pełzacz,Pełzacz w jaskini obok Ile'Sila,,,,,,,2,,Hash-Necron,ŚWIĄTYNIA ŚNIĄCEGO. Nieumarły Ork przy zamkniętych światłem przejściach,,,,,,,3
Arah'Ar Splugawiony,Nieumarły Kapłan na cmentarzu,,,,,,,3,,Gor Boba,ŚWIĄTYNIA ŚNIĄCEGO. Strażnik Świątynny przed Hoshkarem,,,,,,,2
Ksert Duch Słońca,Po wsadzeniu serca w piedestał,,,,,,,3,,Hoshkar,ŚWIĄTYNIA ŚNIĄCEGO. Nekromanta na końcu lokacji,,,,,,,6
Elayr Duch Księżyca,Po wsadzeniu serca w piedestał,,,,,,,3,,Ponury Żniwiarz,JASKINIA BÓLU. Mroczny Strażnik posiadający klucz do kraty z głównym pomieszczeniem,,,,,,,2
Asinoks,Widmo na arenie na wzniesieniu,,,,,,,3,,Miragul,JASKINIA BÓLU. Szkielet w głównym pomieszczeniu lokacji,,,,,,,2
"Fiaras, Wieczny Płomień",Ognisty Golem na górce z drzewem,,,,,,,2,,Dolina Cieni,,,,,,,,
"Ekron, Przeklęty Drzewiec",Drzewiec na wzniesieniu prowadzącym do świątyni,,,,,,,2,,Eratu,Argul na górce po drodze do obozu orków,,,,,,,1
Drak'Zar,Strażnik na dziedzińcu świątyni,,,,,,,2,,Xarthisius,Nieumarły mag przed jaskinią Próby Ognia,,,,,,,4
Ar'Kzar,Strażnik na dziedzińcu świątyni,,,,,,,2,,Lord Dakkat,Lord Cieni w miejscu Próby Ognia,,,,,,,3
Il'Kzar,Strażnik na dziedzińcu świątyni,,,,,,,2,,Ihyal,Nieumarły kapłan w miejscu Smoczej Zguby,,,,,,,3
Chel'Drak,Szkielet w świątyni,,,,,,,4,,Targ'Zar,Smoczy Zębacz przy Słonecznym Kręgu,,,,,,,2
Ile'Sil,Zabicie krzyżem żywiołów przed Chel'Drakiem. Ostatnia Komnata po zabiciu Chel'Draka,,,,,,,6,,Lord Kabbas,Szkielet przed wejściem do Miasta Umarłych,,,,,,,3
Irdorath,,,,,,,,,,Fenrir,Wilk Cienia przed wejściem do obozu orków,,,,,,,1
Ur-Trax,Ork Szaman przy ognisku przed Pedro,,,,,,,2,,Cerberus,Wilk Cienia w obozie orków,,,,,,,1
Ur-Vatah,Herszt siedzący przez ścianą z przełącznikami,,,,,,,2,,Tarantula,Pająk w jaskini pod mostem do obozu orków,,,,,,,2
Trakanon,Smok przed mostem z przełącznikami,,,,,,,7,,Lord Niorret,Lord Cienia przy kuszy Egzekutor w Mieście Umarłych,,,,,,,3
Xylb Demoniczny Goblin,Goblin szkielet za mostem,,,,,,,2,,Izulg,Widmo w głównym pomieszczeniu Miasta Umarłych,,,,,,,4
Lord Archol,Lord Cienia przed wejściem do świątyni,,,,,,,3,,Piekielny Golem,Ognisty Golem za rzeką lawy pod mostem do obozu orków,,,,,,,2
Mario,"Czeka na nas przed Argolem, jeżeli wzieliśmy go na pokład",,,,,,,1,,Azgalor,Smok pojawiający się po przyzwaniu go Okiem Gniewu (Wątek Doliny),,,,,,,8
Lord Argol,Lord Cienia przed pieczęcią do głownej sali,,,,,,,3,,Lodowe góry orków,,,,,,,,
"Dementor, Strażnik Bestii",Poszukiwacz przed przejściem do Sanktuarium,,,,,,,3,,Nimrata,Pożeracz rudy w jednej z jaskiń,,,,,,,2
Aru'Tar,Jaszczuroczłek po interakcji z pierwszym ołtarzem ofiarnym,,,,,,,2,,Kuta,Pająk w grobowcu z Lodowym Młotem,,,,,,,2
Ish'Thar,Jaszczuroczłek po interakcji z drugim ołtarzem ofiarnym,,,,,,,2,,"Uratan, Łowca orków",Pan Cienia w grobowcu z Lodowym Młotem,,,,,,,3
Awatar Beliara,Na końcu sanktuarium,,,,,,,8,,"Avabyul, Kapłanka Beliara","Po przyjęciu daru z misji ""Bezgraniczna Potęga""",,,,,,,2
Las Asasynów / Masyaf,,,,,,,,,,Fregarah,"Golem z misji ""Ekspedycja Magów Ognia""",,,,,,,2
Haniar Ślepy,Walka po zrobieniu wątku głównego,,,,,,,2,,Wyspa Etlu,,,,,,,,
Nebiros,Demon po walce z Haniarem,,,,,,,2,,Magnus,Mag w budynku ze skrzyneczką,,,,,,,1
Cor Calom,Walka pod koniec lokacji,,,,,,,5,,Lord Gavin,Rycerz w budynku ze skrzyneczką,,,,,,,1
