,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Shift + R,,zmiana zachowania summonów,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PANCERZE GILDYJNE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nazwa,,,,Wymagania,,Odporności Cięte/Obuch/Kłute/Ogień/Magia,,,Inne,,,,,Warunek zdobycia,,
Szata nowicjusza mroku,,,,---,,35/25/15/10/15,,,---,,,,,Po zostaniu uczniem Xardasa,,
Szata początkującego przywoływacza,,,,Mana 75 Waga 1,,80/60/55/30/45,,,---,,,,,Po zostaniu przywoływaczem,,
Szata mrocznego przywoływacza,,,,Mana 500 Waga 2,,160/160/130/100/90,,,magiczna moc +3% int +20,,,,,Otrzymujemy po nauce 4 kręgu,,
Szata Władcy Nieumarłych,,,,Mana 750 Waga 2,,185/190/180/140/130,,,Mana +30 int +25 Regen many +1,,,,,Po zabiciu Hoshkara w Świątyni Śniącego,,
Szata Krwi,,,,Mana 1200,,200/210/200/230/200,,,"Przy zabiciu 30% szans na odnowienie 5% many, int +25",,,,,Po zabiciu Ile'Sila na Zaginionym Bracie,,
