,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Czary których warto się uczyć,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Każdy czar ofensywny wymaga poprzedniego, więc pasuje nauczyć się każdego z nich.

Czary, które nie są nam bezpośrednio potrzebne i możemy oszczędzić na nich nieco punktów nauki to Oblicze Śmierci, Czarny Sen, Całun Mroku i Masowa rządza (Pojedyncza w zupełności wystarcza).",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PANCERZE GILDYJNE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nazwa,,,Wymóg,Cięte/Obuch/Kłute/Magia/Ogień,,,Inne,,Warunek zdobycia,,,,,,,
Szata nowicjusza mroku,,,---,35/25/15/10/15,,,---,,Po dołączeniu do nekromantów,,,,,,,
Szata czarnoksiężnika,,,Mana 75,70/50/40/30/40,,,---,,Po zostaniu Czarnoksiężnkiem,,,,,,,
Ciężka Szata Czarnoksiężnika,,,Mana 500,120/120/100/80/90,,,---,,Po osiągnięciu 4 kręgu,,,Specjalne dary,,,,
Poświęcona Szata Czarnoksiężnika,,,Mana 750,170/170/140/130/120,,,55 mana,,Poświęcenie szaty miksturą,,,,,,,
Szata Arcymaga Czarnoksięstwa,,,Mana 800,200/170/100/160/130,,,70 mana,,Sprzedaje Kreol po nauce 5 kręgu,,,,,,,
Szata Krwi,,,Mana 1200,200/210/200/230/200,,,"25 int, 30% szansy na przywrócenie 5% many przy zabiciu",,Po ukończeniu Zaginionego Brata,,,"Czarnoksiężnik ma do odebrania 2 dodatkowe dary specjalne, które nie liczą się do limitu zwykłych darów
[Aby odebrać dar za HP, trzeba mieć go conajmniej 1000]",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Opis,,,,Wymóg
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Obrażenia klątw zwiększone o 10%,,,,200 karmy
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20% zmniejszony próg inta przy przejmowaniu stworów,,,,500 HP
