"Na Równinie, pod drzewem niedaleko jaskini z Maji",,,,"Pod drzewem między Zatoką, a mostem",,,,Przy jeziorku obok Ruin prowadzących na równine,,,,"Na końcu Bagna, przy wejściu do Krypty"
,,,,,,,,,,,,
W jaskini na Wyspie,,,,"Na Równinie przy zębaczach, niedaleko piedestału na kryształ",,,,W Kanionie Trolli na Równinie,,,,"Przy kamiennym kręgu, między mostem, a Jaskinią Kormaka"
,,,,,,,,,,,,
W Kanionie Trolli na Równinie,,,,Na Bagnach przy lewej ścianie,,,,Słoneczny Aloes,,,,W środku Dużej Świątyni
,,,,,,,,,,,,
Po lewej stronie w Kanionie Pełzaczy,,,,Na stole w Jaskini Kormaka,,,,W Kanionie Trolli na Równinie,,,,Za bossem pełzaczy w Kanionie Pełzaczy
,,,,,,,,,,,,
"Sprzedaje Fregyal
(2 Rozdział) (4 Rozdział) (5 Rozdział)",,,,"Sprzedaje Fregyal
(2 Rozdział) (4 Rozdział) (5 Rozdział)",,,,"Sprzedaje Fregyal i Kormak
1 sztuka (2,3,4,5 Rozdział)",,,,Przy Opuszczonej Wieży obok Jaskini Kormaka
,,,,,,,,,,,,
JARKENDAR | PUSTYNIA ADANOSA | DOLINA ASHTARA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Smoczy Korzeń,,,,Goblinia Jagoda,,,,Trollest,,,,Szczaw Królewski
,,,,,,,,,,,,
Przy kaktusie przy przejściu do Zapomnianego Kanioniu,,,,Przy jeziorku w kanionie,,,,Przy Czarnym Trollu,,,,Pod namiotem przed przejściem do Zapomnianego Kanionu
,,,,,,,,,,,,
W zatopionej jaskini z topielcami za Owenem,,,,Przy teleporcie na pustynie Adanosa,,,,Przed schodami do jaskini łączącej kanion z bagnem,,,,Przy wieży z bandytami obok obozu piratów
,,,,,,,,,,,,
"Przed grobowcem Quahodrona, na jednej z półek skalnych",,,,Przed grobowcem Quahodrona,,,,"Przy dwóch palmach, niedaleko drzewa życia i miejsca na jajo",,,,W ruinach przy Edgorze na bagnie
,,,,,,,,,,,,
Przy drewnianej kładce obok chaty Eremity,,,,Przy ścieżce do doliny z Eremitą,,,,,,,,"Przy drzewie między Edgorem, a jaskinią Juana"
,,,,,,,,,,,,
"W małych ruinach z orkiem, po drodze do świątyni ze szczurami",,,,Pośród mrocznych zębaczy przy moście prowadzącym do Eremity,,,,,,,,"Przy skarpie między wykopaliskami, a bagnem"
,,,,,,,,,,,,
W świątyni z goblinami,,,,Na wzniesieniu po lewo od świątyni ze szczurami,,,,,,,,Przy filarze przed świątynią na bagnie
,,,,,,,,,,,,
"Za skałką obok miejsca, gdzie wsadzamy kawałki ornamentów z oaz na Pustyni Adanosa",,,,Obok Czarnego Trolla,,,,Przy kamiennych strażnikach obok trolla w dolinie Ashtara,,,,Sprzedaje Miguel (3 rozdział)
,,,,,,,,,,,,
Przy kamiennym filarze przy jednej z oaz na Pustyni Adanosa,,,,"Za ruinami z goblinami, na drodze do świątyni z goblinami",,,,W ruinach niedaleko wejścia do jaskini ze smoczym jajem na Pustyni Adanosa,,,,"Na Pustyni Adanosa między palmami, które są na lewo od drzewa, naprzeciw wejścia do lokacji"
,,,,,,,,,,,,
,,,,Za ruinami z Kapitanem Thatchem,,,,"Wypada z Ur-Catana w świątyni Adanosa
(4 rozdział)",,,,Za palmą na prawo od Dużej Piramidy na Pustyni Adanosa
,,,,,,,,,,,,
GÓRNICZA DOLINA I JEJ PODLOKACJE,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Smoczy Korzeń,,,,Goblinia Jagoda,,,,Trollest,,,,Szczaw Królewski
,,,,,,,,,,,,
"Przy obalonym drzewie naprzeciw małej kopalni, między Starą Kopalnią, a morzem",,,,"Pomiędzy zamkiem, a obozem Netbeka, na terenach przed palisadą",,,,"Za drzewem obok drewnianego daszku, między Lodowym Biomem, a bandytą Grubym",,,,Na plaży z Kolcogrzbietami przy morzu
,,,,,,,,,,,,
"W podziemnym przesmyku między przełęczą, a kopalnią z Grimesem",,,,Za kamieniem obok obozu Ratforda i Draxa,,,,Za wieżą strażniczą obok kopalni Fajetha,,,,Przed wejściem do Starej Kopalni
,,,,,,,,,,,,
"Przy zawalonej kłodzie, między zamkiem a mostem",,,,Za drzewem przy jaskini z Bullitem pod najemnikami orków,,,,"Między palisadą, a północnym wyjściem ze Starego Obozu",,,,Na wzniesieniu za zamarzniętym jeziorem
,,,,,,,,,,,,
Przed wejściem do miasta orków,,,,Przy wieży obok przywódcy zębaczy,,,,Słoneczny Aloes,,,,"Po zejściu z przełęczy, po lewej stronie za rzeką przed orkami"
,,,,,,,,,,,,
"Przy drzewie prowadzącym na górę, obok Hoshpaka",,,,Przy jeziorku pod Starą Wieżą Xardasa,,,,Obok trolla przy Opuszczonej Kopalni nad przełęczą,,,,"Na terenach naprzeciw taranu, obok Muritana"
,,,,,,,,,,,,
Po prawo za mostem do kamiennej fortecy,,,,W leżu Czarnego Trolla w Dolinie CIenia,,,,"Przy trollach Netbeka, nad Starym Obozem Bractwa",,,,Na urwisku nad podziemnym wejściem do Kreola
,,,,,,,,,,,,
Sprzedaje handlarz w Mieście Orków po osiągnięciu 100 reputacji,,,,W obozie wrogich orków w Lodowych Górach Orków,,,,Za Azgalorem w Dolinie Cienia,,,,Obok jaskini na drodze do Starego Obozu Bractwa
,,,,,,,,,,,,
"Na polanie z trollem między środkiem mapy, a przejściem do jeziora w Dolinie Cieni",,,,,,,,,,,,W kotle Wolnej Kopalni
,,,,,,,,,,,,
Wypada z Ur-Thralla,,,,,,,,Przy Cerberusie w Dolinie CIenia,,,,Przy słupie teleportacyjnym obok krypty Angara
,,,,,,,,,,,,
,,,,,,,,Przy drzewie między Czarnym Trollem a Próbą Ognia w Dolinie CIenia,,,,W spalonej chacie niedaleko Diego
,,,,,,,,,,,,
,,,,,,,,Od Ratforda za paczkę od Fiska,,,,Przed wejściem do Jaskini Bólu
