Leichte Paladin-Armbrust,"Stärke: 210, Beherrschung: 40%",140,---,,"Verkauft Tandor
Fällt von namenlosen Rittern"
Drag Mora,"Stärke: 200, Beherrschung: 30%",150,---,,Fällt von Schwarzen Ork-Armbrustschützen
Kriegs-Armbrust,"Stärke: 220, Beherrschung: 45%",160,---,,"In der Höhle mit Schattenwesen unter der Brücke zu den Ausgrabungen der Wassermagier
In der Höhle mit Echsenmenschen vor der Steinfestung"
Untotenschreck,"Stärke: 185, Beherrschung: 50%",175,Effektiv gegen Untote und Geister,,"Schema liegt beim Eingang zur
Verlassenen Mine im Minental"
Kreuzritter-Armbrust,"Stärke: 250, Beherrschung: 50%",200,---,,Verkauft Tandor/Liegt im Lager in Fort Azgan
Paladin-Armbrust,"Stärke: 300, Beherrschung: 60%",240,---,,Fällt von namenlosen Paladinen
Schwere Armbrust,"Stärke: 350, Beherrschung: 70%",265,---,,Verkauft Tandor/Trägt Udar
Drachenjäger-Armbrust,"Stärke: 400, Beherrschung: 80%",300,---,,Verkauft Tandor im 4. Kapitel
Beliars Klaue,"Stärke: 320, Beherrschung: 85%",330,Schadensbonus von Stärke: 18% Zusätzlicher Schaden: 20,,"Fällt von Raven, muss in der Kapelle umgearbeitet werden"
Beliars Klaue mit Seele,"Stärke: 350, Beherrschung: 95%",375,"Schadensbonus von Stärke: 30%
Zusätzlicher Schaden: 100
Lebensraub: 25",,Bekommen nach Einsetzen von Senyaks Seele in die Armbrust
Böses Omen,"Stärke: 375, Beherrschung: 90%",375 + 75,Effektiv gegen Untote und Geister,,Fällt von Raven in Ravens Albtraum
Drag Nimrod,"Stärke: 450, Beherrschung: 100%",450,---,,"Quest ""Armbrust des Großen Jägers"""
Henker,----,1000 + 2000,Nur 50 Bolzen,,Liegt auf dem Sarkophag in der Stadt der Toten im Tal der Schatten neben Lord Niorret
