NAME,,,,ANFORDERUNGEN,,HIEB,STUMPF,STICH,FEUER,MAGIE,SONSTIGES,,BESCHREIBUNG
Geschmiedete Er'hazir-Rüstung,,,,"Geschicklichkeit 550 Gewicht 4
Haltbarkeit 850",,290,290,265,180,200,LP 320 Sturz 9,,Schmieden der Er'hazir-Rüstung
Blutrüstung,,,,"Stärke 625 Gewicht 6
Haltbarkeit 900",,320,320,320,170,170,LP 500 Sturz 12 stellt 200 LP pro Tötung wieder her,,Ile'Sil auf dem Verlorenen Bruder
Rüstung der Dunkelheit,,,,"Geschick 600 Gewicht 4
Haltbarkeit 850",,340,325,360,190,220,Ausweichen 15% Sturz 12,,Besiege Ginnok in Kapitel 5 mit mehr Geschicklichkeit als Stärke
Rüstung des Lichts,,,,"Stärke 625 Gewicht 6
Haltbarkeit 900",,350,350,350,100,100,LP 500 Sturz 15,,Besiege Ginnok in Kapitel 5 mit mehr Stärke als Geschicklichkeit
Drachentöter-Rüstung,,,,"Stärke 550 Gewicht 6
Haltbarkeit 950",,390,390,300,150,130,LP 600 Sturz 15,,Bennet fertigt sie in Kapitel 6 auf Irdorath
SONSTIGES,,,,,,,,,,,,,
Novizen-Stirnband,,,,---,,5,0,0,0,0,---,,Liegt neben Lester im Tal unter Xardas' Turm
Bauernkleidung,,,,---,,15,0,0,0,0,---,,Verkauft Lobart nach Erledigung der Farmaufgaben
Bürgerkleidung,,,,---,,10,10,5,0,0,---,,"Verkaufen Matteo und Hanna
Liegt im Lager links vom Südtor"
Schmiedlehrling-Kleidung,,,,---,,15,10,0,0,5,---,,Werde Lehrling von Harad
Alchemisten-Kleidung,,,,---,,15,10,5,0,5,---,,Werde Lehrling von Constantino
Luxuriöse Bürgerkleidung,,,,---,,20,10,5,0,0,---,,"Auf dem Dach von Gerbrandts Haus in der Oberstadt
(Beste Option für Pablos Auftrag)"
Lederrüstung,,,,Gewicht 1,,25,15,10,0,0,Ausweichen 10%,,"Geben Jäger und Bosper seinem Lehrling
Verkauft Orlan in der Taverne Tote Harpie"
Schwere Lederrüstung,,,,Gewicht 1,,30,20,15,0,0,Ausweichen 10%,,Verkauft Bosper an Lehrling
Abenteurer-Rüstung,,,,---,,40,35,40,0,0,---,,Verkauft Alrik für 500 Gold
Wasserkreis-Rüstung,,,,Gewicht 1,,60,65,50,10,10,LP 25,,"Erhalten nach Beitritt zum Wasserkreis
(Bringe Ornamente zu den Wassermagiern und setze Fernando fest)"
Geschmiedete Wasserkreis-Rüstung,,,,Gewicht 2,,80,85,75,15,20,LP 50,,Grundlegendes Schmieden (Carl / Gildenschmiede)
Kriecher-Plattenrüstung,,,,"Stärke 65 Gewicht 1
Haltbarkeit 150",,50,60,70,15,5,LP 100,,"Fertigt Wolf für uns in der Aufgabe ""Rüstung für Barem"""
Geschmiedete Kriecher-Plattenrüstung,,,,"Stärke 80 Gewicht 2
Haltbarkeit 150",,70,80,90,25,10,LP 125,,Grundlegendes Schmieden (Carl / Gildenschmiede)
Robe des uralten Priesters,,,,Mana 250 Gewicht 1,,75,50,40,40,50,---,,In Truhe in der Bibliothek in Jarkendaru
Schwere Schattenrüstung,,,,"Geschick 100 Gewicht 2
Haltbarkeit 250",,100,100,90,0,0,"Ausweichen 10% Sturz 2
Bogen | 1H +5%
",,"Truhe von Rączka im Minental
Braucht 250 Geschicklichkeit und bestehle Rączka in Azgan"
Geschmiedete schwere Schattenrüstung,,,,"Geschick 150 Gewicht 2
Haltbarkeit 300",,140,130,110,0,0,"Ausweichen 10% Sturz 3
Bogen | 1H +5%",,Fortgeschrittenes Schmieden (Darion / Gildenschmiede)
Stahlrüstung,,,,"Stärke 250 Gewicht 3
Haltbarkeit 350",,150,120,100,15,25,---,,Gibt Erol nach Abschluss des Lager-Handlungsstrangs
Geschmiedete Stahlrüstung,,,,"Stärke 275 Gewicht 3
Haltbarkeit 350",,165,140,120,20,45,---,,Fortgeschrittenes Schmieden (Darion / Gildenschmiede)
Magnaten-Rüstung,,,,"Stärke 160 Gewicht 3
Haltbarkeit 400",,150,150,140,10,10,LP 175,,Liegt in der Truhe des Magnaten in der Steinfestung im MT
Geschmiedete Magnaten-Rüstung,,,,"Stärke 230 Gewicht 4
Haltbarkeit 450",,180,180,160,20,20,LP 235,,Fortgeschrittenes Schmieden (Darion / Gildenschmiede)
Robe des Uralten Magiers,,,,Mana 550 Gewicht 2,,175,175,150,120,110,---,,"In der Schmerzhöhle im Minental
(Kapitel 3, Aufgabe Antiken)"
