,Entwicklungsstufen des Verdammten,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Name,,Beschreibung,,,,,,,,Anforderungen
,Adept,,"Niedrigste Stufe. Jede Person, die gerade Macht erhalten hat, wird zum Adepten. Verspürt keinen Hunger, Durst oder Schlafbedürfnis. Besitzt langsame Regeneration von Leben, Mana und Ausdauer.",,,,,,,,-
,,,,,,,,,,,
,,,,,,,,,,,
,Älterer der Verdammten,,"Besitzt bereits Grundfähigkeiten und kann sie auf fortgeschrittenerem Niveau beherrschen. Krankheiten, Schwächungen und Flüche wirken nicht auf ihn. Erhöhte Regenerationsgeschwindigkeit von Gesundheit, Mana und Ausdauer.",,,,,,,,"18. Stufe, 2. Kapitel"
,,,,,,,,,,,
,,,,,,,,,,,
,Meister der Verdammten,,"Sehr geschickt in seinen Fähigkeiten. Immun gegen Besessenheit, Kälte und die meisten Gifte. Noch höhere Regenerationsgeschwindigkeit von Gesundheit, Mana und Ausdauer.",,,,,,,,"32. Stufe, 2. Kapitel, Gespräch mit Garond oder Flucht des Raben"
,,,,,,,,,,,
,,,,,,,,,,,
,Erzmeister der Verdammten,,"Sehr seltener und mächtiger Vertreter seiner Art. Erhält 3% weniger Schaden von Angriffen der Feinde. Noch höhere Regenerationsgeschwindigkeit von Gesundheit, Mana und Ausdauer.",,,,,,,,"45. Stufe, 3. Kapitel, keine aktiven Quests: Mord in der Stadt, Tödliche Begegnung, Sturm auf die Burg"
,,,,,,,,,,,
,,,,,,,,,,,
,Fähigkeiten des Verdammten,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Name,,Kosten,Beschreibung,,,,,,,Anforderungen
,Geist der Verdammten,,5LP,Zusätzliche 20 Manapunkte.,,,,,,,Keine
,,,,,,,,,,,
,,,,,,,,,,,
,Geschicklichkeit der Verdammten,,7LP,Einfach Akrobatik.,,,,,,,Keine
,,,,,,,,,,,
,,,,,,,,,,,
,Bezauberung,,2LP,Zusätzliche 30 Rhetorikpunkte sowie Erhöhung der Chance auf Herausreden aus Diebstahl um 30%.,,,,,,,15. Stufe
,,,,,,,,,,,
,,,,,,,,,,,
,Verfluchter Körper,,5LP,Zusätzliche 30 Punkte Schutz vor physischen Schäden.,,,,,,,16. Stufe
,,,,,,,,,,,
,,,,,,,,,,,
,Federfall,,3LP,Kein Schaden durch Stürze aus der Höhe.,,,,,,,20. Stufe
,,,,,,,,,,,
,,,,,,,,,,,
,Schattenrolle,,8LP,"Bei Verwendung von Akrobatik (Rolle oder Sprung), 40% Chance Schaden zu ignorieren.",,,,,,,"Älterer der Verdammten, 25. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Ausdauer der Bestie,,5LP,Sprintgeschwindigkeit um 20% erhöht.,,,,,,,"Älterer der Verdammten, 22. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Regeneration,,"S1: 4LP
S2: 5LP",Erhöhte Regeneration der Statistiken (HP/Mana/Ausdauer),,,,,,,"S1: Älterer der Verdammten, 20. Stufe
S2: Meister der Verdammten, 35. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Ausweichen,,"S1: 3LP
S2: 6LP",Chance feindliche Schläge zu vermeiden.,,,,,,,"S1: Älterer der Verdammten, 27. Stufe
S2: Meister der Verdammten, 37. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Wendigkeit der Bestie,,5LP,Erhöht die Seitwärtsbewegungsgeschwindigkeit im Kampf (Strafe) um 25%.,,,,,,,"Meister, 40. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Verfluchter Geist,,15LP,Schaden durch Magie um 10% verringert.,,,,,,,"Älterer der Verdammten, 45. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Rüstungen,,,,,,,,,,
,,,,,,,,,,,
,Name,,Anforderungen,,Hieb/Stumpf/Stich/Feuer/Magie,,,Zusätzlich,,Bedingung für Erhalt,
,Rüstung des Verdammten,,"Ausdauer: 200
Stärke: 40",,65/45/50/10/20,,,"Sturz: 1
Gesundheit: 25
Ausweichen: 3%",,Erhalten beim Beitritt von Remus.,
,Geschmiedete Rüstung des Verdammten,,"Ausdauer: 200
Stärke: 45",,80/75/70/20/30,,,"Sturz: 2
Gesundheit: 35
Ausweichen: 3%",,Schmieden der Verdammtenrüstung.,
,Meisterrüstung des Verdammten,,"Ausdauer: 450
Stärke: 250",,170/160/150/60/80,,,"Sturz: 4
Gesundheit: 175
Ausweichen: 5%",,Kaufbar bei Remus ab 3. Kapitel.,
,Geschmiedete Meisterrüstung des Verdammten,,"Ausdauer: 550
Stärke: 275",,190/180/180/80/100,,,"Sturz: 5
Gesundheit: 200
Ausweichen: 5%",,Schmieden der Meisterrüstung des Verdammten.,
,Panzer des Verdammten,,Ausdauer: 200,,60/55/50/10/20,,,"Sturz: 1
Gesundheit: 25",,Erhalten beim Beitritt von Remus.,
,Geschmiedeter Panzer des Verdammten,,Ausdauer: 200,,75/70/65/15/25,,,"Sturz: 2
Gesundheit: 45",,Schmieden des Panzers des Verdammten.,
,Meisterpanzer des Verdammten,,Ausdauer: 500,,160/165/150/60/70,,,"Sturz: 4
Gesundheit: 200",,Kaufbar bei Remus ab 3. Kapitel.,
,Geschmiedeter Meisterpanzer des Verdammten,,Ausdauer: 550,,180/185/175/80/90,,,"Sturz: 5
Gesundheit: 235",,Schmieden des Meisterpanzers des Verdammten.,
,Robe des Verdammten,,Mana: 60,,70/50/65/30/40,,,-,,Erhalten beim Beitritt von Remus.,
,Meisterrobe des Verdammten,,Mana: 500,,150/140/120/100/110,,,-,,Kaufbar bei Remus ab 3. Kapitel.,
,Fähigkeiten des Faustkämpfers,,,,,,,,,,
,,,,,,,,,,,
,Name,,Kosten,Beschreibung,,,,,,,Anforderungen
,Fließende Bewegungen,,Keine,Ermöglicht spezielle Schläge während Seitwärtsbewegungen (automatisch erlernt).,,,,,,,Keine
,,,,,,,,,,,
,,,,,,,,,,,
,Gabe des Blutes,,10LP,Ermöglicht das Entziehen von (10% des verursachten Schadens) Lebensenergie beim Schlagen des Feindes. Funktioniert nur bei lebenden Gegnern.,,,,,,,"50 Stärke, 10. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Fäuste des Jägers,,6LP,Möglichkeit Tierangriffe mit Fäusten zu blocken.,,,,,,,"60 Stärke, 12. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutige Klauen,,"S1: 4LP
S2: 6LP",Möglichkeit Blutungen bei lebenden Zielen zu verursachen.,,,,,,,"S1: Älterer der Verdammten, 15. Stufe, 75 Stärke
S2: Meister der Verdammten, 32. Stufe, 200 Stärke"
,,,,,,,,,,,
,,,,,,,,,,,
,Dunkle Fäuste,,15LP,Erhöht den verursachten Schaden erheblich und ermöglicht das Ignorieren der Verteidigung der Gegner. Schaden hängt von Stärke und Charakterstufe ab.,,,,,,,"100 Stärke, 16. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Tritt mit halber Drehung,,15LP,Verursacht Schaden an Zielen ringsum und wirft sie um. Jede Verwendung erfordert 150 Ausdauer.,,,,,,,"Älterer der Verdammten, 18. Stufe, 115 Stärke, 250 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Wissen über empfindliche Punkte,,7LP,"Verstärkt ""Dunkle Fäuste"", erhöht verursachten Schaden um 100 und gewährt zusätzlichen Schaden gegen Trolle, Geister und Drachen.",,,,,,,"Älterer der Verdammten, 28. Stufe, 150 Stärke, ""Dunkle Fäuste"""
,,,,,,,,,,,
,,,,,,,,,,,
,Tritt,,12LP,Starker Tritt. Ignoriert 50% der Rüstung. Verwendung erfordert 125 Ausdauer.,,,,,,,"Älterer der Verdammten, 16. Stufe, 120 Stärke, 200 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Verfluchte Stärke,,12LP,"Bewirkt, dass die Schadensskalierung mit Stärke um 50% effektiver ist.",,,,,,,"Älterer der Verdammten, 30. Stufe, 200 Stärke, 350 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Ausstrahlung der Dunkelheit,,10LP,"Nach dem Töten eines untoten Feindes wandelt einen Teil (5%) seines Lebens in deine Gesundheit um. Zusätzlich verringert sich der erhaltene Schaden durch Blutungen von untoten Kreaturen um 20%.",,,,,,,"Älterer der Verdammten, 34. Stufe, 225 Stärke"
,,,,,,,,,,,
,,,,,,,,,,,
,Macht des Blutes,,6LP,Erhöht Lebensraub bei Schlägen um 10%,,,,,,,"Älterer der Verdammten, 34. Stufe, 185 Stärke, ""Gabe des Blutes"""
,,,,,,,,,,,
,,,,,,,,,,,
,Gerader Schlag,,12LP,Mächtiger gerader Schlag. Ignoriert 75% der Rüstung. Verwendung erfordert 250 Ausdauer.,,,,,,,"Meister der Verdammten, 35. Stufe, 275 Stärke, 500 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Ausdauer der Verdammten,,"S1: 4LP
S2: 5LP
S3: 6LP",Erhöht Ausdauerregeneration außerhalb des Kampfes und während des Faustkampfes.,,,,,,,"S1: Älterer der Verdammten, 24. Stufe, 100 Stärke, 300 Ausdauer
S2: Meister der Verdammten, 35. Stufe, 250 Stärke, 500 Ausdauer
S3: Meister der Verdammten, 40. Stufe, 275 Stärke, 550 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Fähigkeiten des Kriegers,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Reaktion der Bestie,,"S1: 5LP
S2: 7LP
S3: 10LP",Erhöht Angriffsgeschwindigkeit bei Verwendung von Nahkampfwaffen um 5%/10%/15%.,,,,,,,"S1: 15. Stufe
S2: Älterer der Verdammten, 20. Stufe, 300 Ausdauer
S3: Meister der Verdammten, 35. Stufe, 275 Stärke oder Geschicklichkeit"
,,,,,,,,,,,
,,,,,,,,,,,
,Gabe der Dunkelheit,,10LP,Ermöglicht das Entziehen von (10% des verursachten Schadens) Lebensenergie beim Schlagen des Feindes. Funktioniert nur bei lebenden Gegnern.,,,,,,,"50 Stärke, 10. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Dunkle Klinge,,15LP,"Verringert dauerhaft Schaden von Nahkampfwaffen um 30%, ermöglicht aber das Verursachen zusätzlichen Schadens an Gegnern, der die Verteidigung ignoriert. Verursacht auch zusätzlichen Schaden gegen Geister. Schaden hängt von der Stufe und der Hälfte des Hauptattributs (Stärke/Geschicklichkeit) ab.",,,,,,,"Älterer der Verdammten, 18. Stufe, 100 Stärke oder Geschicklichkeit, 250 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Ausstrahlung der Dunkelheit,,10LP,"Nach dem Töten eines untoten Feindes wandelt einen Teil (5%) seines Lebens in deine Gesundheit um. Zusätzlich verringert sich der erhaltene Schaden durch Blutungen von untoten Kreaturen um 20%.",,,,,,,"Älterer der Verdammten, 27. Stufe, 300 Ausdauer"
,,,,,,,,,,,
,,,,,,,,,,,
,Macht des Blutes,,6LP,Erhöht Lebensraub bei Schlägen um 10%,,,,,,,"Älterer der Verdammten, 30. Stufe, ""Ausstrahlung der Dunkelheit"""
,,,,,,,,,,,
,,,,,,,,,,,
,Rüstungsdurchdringung,,5LP,Erhöht Rüstungsdurchdringung des Feindes um 5%.,,,,,,,"Älterer der Verdammten, 35. Stufe, 250 Stärke oder Geschicklichkeit"
,,,,,,,,,,,
,,,,,,,,,,,
,Schützling,,"S1: 5LP
S2: 4LP
S3: 4LP
S4: 4LP
S5: 4LP ","Beschwört einen Diener, der dir folgt. Im Kampf sammelt er Erfahrung besiegter Feinde und kann dir helfen: Heilung, Ausdauer oder Mana hinzufügen. Je höher die Stufe des Schützlings, desto mehr Erfahrung sammelt er und kann mehr Fähigkeiten im Kampf einsetzen. Position des Dieners kann geändert werden. Kann über uns oder neben uns fliegen. Schützling kann auch Geschosse abwehren.",,,,,,,"S1: 12. Stufe
S2: Älterer der Verdammten, 25. Stufe
S3: Meister der Verdammten, 34. Stufe
S4: Meister der Verdammten, 40. Stufe
S5: Meister der Verdammten, 45. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Gabe des Schützlings,,10LP,"Schützling verstärkt den Besitzer zufällig durch Anwendung positiver Effekte: erhöhter Schaden, Gesundheitsregeneration, zusätzlicher Schaden, Ausweichenchance, verringerter Ausdauerverbrauch, erhöhte Angriffsgeschwindigkeit. Effekt wird zufällig gewählt.",,,,,,,"Älterer der Verdammten, 32. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Letzte Chance,,7LP,"Wenn deine Gesundheit unter 30% fällt, heilt dich der Schützling, verliert aber alle Energie und kann eine Zeit lang nicht helfen.",,,,,,,"Meister der Verdammten, 32. Stufe, 175 Stärke oder Geschicklichkeit"
,,,,,,,,,,,
,,,,,,,,,,,
,Fähigkeiten des Magiers,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Verlangsamung des Lebens,,6LP,Verlangsamt getroffenen Feind um 20%. Wirkt bei allen Zaubern.,,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 22. Stufe, 125 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutfluss,,6LP,"Erhöht Lebensraub um 10% für alle Zauber, bei denen ein solcher Effekt möglich ist.",,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 26. Stufe, 150 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutschild,,10LP,Absorbiert Schaden. Schildstärke hängt von Intelligenz und Charakterstufe ab. Hat 20% Chance ein Geschoss/Zauber zu absorbieren.,,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 34. Stufe, 300 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutessenz,,4LP,Reichweitenerweiterung des Angriffs - erhöht Radius der Feindsuche.,,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 35. Stufe, 225 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Strom des Terrors,,7LP,Bei Verwendung von Stromzaubern besteht 15% Chance zusätzlichen Schaden von 10% bis 25% zu verursachen.,,,,,,,"Dritter Kreis der Blutmagie, Meister der Verdammten, 35. Stufe, 250 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Macht der Dunkelheit,,12LP,"Wenn ein beliebiger Stromzauber aktiv ist, hast du 20% Chance allen erhaltenen Schaden zu ignorieren.",,,,,,,"Dritter Kreis der Blutmagie, Meister der Verdammten, 38. Stufe, 300 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Verstärkung der Tentakel der Dunkelheit,,6LP,"Erhöht die Anzahl zusätzlicher Ziele auf 5. Das bedeutet, dass insgesamt 6 Feinde angegriffen werden.",,,,,,,"Dritter Kreis der Blutmagie, Meister der Verdammten, 44. Stufe, 400 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Schneller Fluss,,8LP,Erhöht die Geschwindigkeit des verursachten Schadens durch alle Stromzauber um 10% oder 20%.,,,,,,,"S1: Dritter Kreis der Blutmagie, Älterer der Verdammten, 28. Stufe, 125 Intelligenz
S2: Dritter Kreis der Blutmagie, Meister der Verdammten, 44. Stufe, 350 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutessenz: Erhöhung der Feindzahl,,4LP,Erhöht die Anzahl gleichzeitig angegriffener Ziele für Blutessenz.,,,,,,,"S1: Dritter Kreis der Blutmagie, Meister der Verdammten, 35. Stufe, 250 Intelligenz
S2: Meister der Verdammten, 42. Stufe, 375 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Blutessenz: Erhöhung der Angriffsgeschwindigkeit,,6LP,Erhöht die Geschwindigkeit des Wirkens von Blutessenz-Zaubern.,,,,,,,"Dritter Kreis der Blutmagie, Meister der Verdammten, 40. Stufe, 350 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Magische Kreise,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Erster Kreis der Blutmagie,,10LP,Gewährt auch Kenntnis des ersten Kreises der Runenmagie.,,,,,,,Keine
,,,,,,,,,,,
,,,,,,,,,,,
,Zweiter Kreis der Blutmagie,,15LP,Gewährt auch Kenntnis des zweiten Kreises der Runenmagie.,,,,,,,"Älterer der Verdammten, 2. Kapitel oder 200 Mana"
,,,,,,,,,,,
,,,,,,,,,,,
,Dritter Kreis der Blutmagie,,25LP,Gewährt auch Kenntnis des dritten Kreises der Runenmagie.,,,,,,,"Meister der Verdammten, 2. Kapitel und 500 Mana, 35. Stufe"
,,,,,,,,,,,
,,,,,,,,,,,
,Runen,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Blutfaden,,6LP,"Verursacht Schaden an lebenden Wesen, entzieht ihnen Lebensenergie.",,,,,,,Erster Kreis der Blutmagie
,,,,,,,,,,,
,,,,,,,,,,,
,Blutstrom,,9LP,"Verbesserte Version des ""Blutfadens"". Verursacht Schaden an lebenden Wesen, entzieht ihnen Lebensenergie.",,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, ""Blutfaden"""
,,,,,,,,,,,
,,,,,,,,,,,
,Strom der Dunkelheit,,16LP,"Zauber gegen Untote, Golems und andere Feinde. Stiehlt kein Leben.",,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 22. Stufe, 135 Intelligenz, ""Blutstrom"""
,,,,,,,,,,,
,,,,,,,,,,,
,Beschwörung der Blutessenz,,14LP,"Zauber der eine Blutessenz zur Hilfe beschwört, die dem Spieler folgt und Feinde angreift, benötigt Mana zur Aufrechterhaltung. Das Wesen kann den Befehl erhalten nichts zu tun oder zum Spieler teleportiert zu werden.",,,,,,,"Zweiter Kreis der Blutmagie, Älterer der Verdammten, 30. Stufe, 175 Intelligenz"
,,,,,,,,,,,
,,,,,,,,,,,
,Tentakel der Dunkelheit,,5LP,Verursacht Schaden am Hauptziel und 2 weiteren Feinden. Stellt Gesundheit für jedes Ziel wieder her. Alle Fähigkeiten zur Erhöhung des Flusses wirken auf diesen Zauber.,,,,,,,"Dritter Kreis der Blutmagie, Meister der Verdammten, 36. Stufe, 300 Intelligenz, Strom der Dunkelheit"
