"Werte im SnC-Modus sind um die Hälfte reduziert. Bei ungeraden Zahlen wird aufgerundet.
Im Nightmare-Modus erhalten wir für Bosse, die mehr als 8EP geben, immer 8EP, und für Bosse, die 5EP geben, immer 4EP",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Namenloser,Nach Beantwortung der Rätsel,,,,,,,3,,Hush-Gor,"ORK-FRIEDHOF Ork-Schamane im Zusammenhang mit der Quest ""Schatten der Vergangenheit""",,,,,,,3
Kruk,Nach Besiegung des Namenlosen,,,,,,,4,,Itu'Sed,ORK-MINE. Wächter der Steinsphäre,,,,,,,3
Dramdar,Dämon nach Besiegung von Kruk,,,,,,,2,,Irh'Tar,ORK-MINE. Erzdämon in der Arena,,,,,,,4
Verlorener Bruder,,,,,,,,,,Lik'Her,TEMPEL DES TRÄUMENDEN. Geist im Raum, der mit Schalter verschlossen wird,,,,,,,3
Blutkriecher,Kriecher in der Höhle neben Ile'Sil,,,,,,,2,,Hash-Necron,TEMPEL DES TRÄUMENDEN. Untoter Ork bei den lichtversiegelten Durchgängen,,,,,,,3
Arah'Ar der Befleckte,Untoter Priester auf dem Friedhof,,,,,,,3,,Gor Boba,TEMPEL DES TRÄUMENDEN. Tempelwächter vor Hoshkar,,,,,,,2
Ksert Sonnengeist,Nach Einsetzen des Herzens in den Sockel,,,,,,,3,,Hoshkar,TEMPEL DES TRÄUMENDEN. Nekromant am Ende der Region,,,,,,,6
Elayr Mondgeist,Nach Einsetzen des Herzens in den Sockel,,,,,,,3,,Düsterer Schnitter,HÖHLE DES SCHMERZES. Dunkler Wächter mit dem Schlüssel zum Gitter des Hauptraums,,,,,,,2
Asinoks,Geist in der Arena auf der Anhöhe,,,,,,,3,,Miragul,HÖHLE DES SCHMERZES. Skelett im Hauptraum der Region,,,,,,,2
"Fiaras, Ewige Flamme",Feuergolem auf dem Hügel mit dem Baum,,,,,,,2,,Schattental,,,,,,,,
"Ekron, Verfluchter Baumling",Baumling auf der Anhöhe zum Tempel,,,,,,,2,,Eratu,Argul auf dem Hügel auf dem Weg zum Ork-Lager,,,,,,,1
Drak'Zar,Wächter im Tempelhof,,,,,,,2,,Xarthisius,Untoter Magier vor der Feuerprobe-Höhle,,,,,,,4
Ar'Kzar,Wächter im Tempelhof,,,,,,,2,,Lord Dakkat,Schattenlord am Ort der Feuerprobe,,,,,,,3
Il'Kzar,Wächter im Tempelhof,,,,,,,2,,Ihyal,Untoter Priester am Ort der Drachenverderbnis,,,,,,,3
Chel'Drak,Skelett im Tempel,,,,,,,4,,Targ'Zar,Drachenbeißer beim Sonnenkreis,,,,,,,2
Ile'Sil,Töten mit Kreuz der Elemente vor Chel'Drak. Letzte Kammer nach Töten von Chel'Drak,,,,,,,6,,Lord Kabbas,Skelett vor dem Eingang zur Stadt der Toten,,,,,,,3
Irdorath,,,,,,,,,,Fenrir,Schattenwolf vor dem Eingang zum Ork-Lager,,,,,,,1
Ur-Trax,Ork-Schamane am Lagerfeuer vor Pedro,,,,,,,2,,Cerberus,Schattenwolf im Ork-Lager,,,,,,,1
Ur-Vatah,Häuptling, der an der Wand mit den Schaltern sitzt,,,,,,,2,,Tarantula,Spinne in der Höhle unter der Brücke zum Ork-Lager,,,,,,,2
Trakanon,Drache vor der Brücke mit den Schaltern,,,,,,,7,,Lord Niorret,Schattenlord bei der Armbrust Vollstrecker in der Stadt der Toten,,,,,,,3
Xylb Dämonischer Goblin,Goblin-Skelett hinter der Brücke,,,,,,,2,,Izulg,Geist im Hauptraum der Stadt der Toten,,,,,,,4
Lord Archol,Schattenlord vor dem Tempeleingang,,,,,,,3,,Höllengolem,Feuergolem hinter dem Lavafluss unter der Brücke zum Ork-Lager,,,,,,,2
Mario,"Wartet vor Argol auf uns, wenn wir ihn an Bord genommen haben",,,,,,,1,,Azgalor,Drache, der nach Beschwörung mit dem Auge des Zorns erscheint (Tal-Handlungsstrang),,,,,,,8
Lord Argol,Schattenlord vor dem Siegel zum Hauptsaal,,,,,,,3,,Eisberge der Orks,,,,,,,,
"Dementor, Bestienwächter",Sucher vor dem Durchgang zum Sanktuarium,,,,,,,3,,Nimrata,Erzverschlinger in einer der Höhlen,,,,,,,2
Aru'Tar,Echsenmensch nach Interaktion mit dem ersten Opferaltar,,,,,,,2,,Kuta,Spinne im Grabmal mit dem Eishammer,,,,,,,2
Ish'Thar,Echsenmensch nach Interaktion mit dem zweiten Opferaltar,,,,,,,2,,"Uratan, Orkjäger",Schattenherr im Grabmal mit dem Eishammer,,,,,,,3
Avatar Beliars,Am Ende des Sanktuariums,,,,,,,8,,"Avabyul, Beliars Priesterin","Nach Annahme der Gabe aus der Mission ""Grenzenlose Macht""",,,,,,,2
Assassinenwald / Masyaf,,,,,,,,,,Fregarah,"Golem aus der Mission ""Feuermagier-Expedition""",,,,,,,2
Haniar der Blinde,Kampf nach Abschluss des Haupthandlungsstrangs,,,,,,,2,,Etlu-Insel,,,,,,,,
Nebiros,Dämon nach dem Kampf mit Haniar,,,,,,,2,,Magnus,Magier im Gebäude mit der Schatztruhe,,,,,,,1
Cor Calom,Kampf am Ende der Region,,,,,,,5,,Lord Gavin,Ritter im Gebäude mit der Schatztruhe,,,,,,,1
