Keroloth [60%],,,---,,,Atilla [60%],,Mitglied der Diebesgilde,,,Bartok [60%],,---,,,Henry [60%],,,,Zugang zum Piratenlager,,,
Alrik [60%],,,---,,,Cord [90%],,Söldner / Gildenlose,,,Wilk [60%],,Nur Söldner,,,Dragomir [60%],,,,Nach Bezahlung,,,
Barem [75%],,,Mitglied des Jägerlagers,,,Girion [90%],,Nur Paladine,,,Raff [100%],,Mitglied des Jägerlagers,,,Gor Na Vid [100%],,,,Nur SŚ,,,
Gor na Kosh [90%],,,Nur SŚ,,,Rod [90%],,Seine Achtung erlangen,,,Gunnar [100%],,Im Tal der Schatten,,,Gunnar [100%],,,,Im Tal der Schatten,,,
Cedric [100%],,,Nur Paladine,,,Lord Hagen [100%],,Paladine über 90%,,,Jack Aligator,,Nach Rattenjagd,,,Viland [100%],,,,Nur Dämonenjäger,,,
Cord [90%],,,Söldner / Gildenlose,,,Lee [100%],,Jeden über 75%,,,---,,---,,,---,,,,---,,,
Asmal [100%],,,Mitglied der Assassinengilde,,,Gor na Kosh [90%],,Nur SŚ,,,---,,---,,,---,,,,---,,,
Cadore [100%],,,Im Tal der Schatten,,,Cadore [100%],,Im Tal der Schatten,,,---,,---,,,---,,,,---,,,
Viland [100%],,,Nur Dämonenjäger,,,Henry [60%],,Zugang zum Piratenlager,,,---,,---,,,---,,,,---,,,
---,,,---,,,Viland [100%],,Nur Dämonenjäger,,,---,,---,,,---,,,,---,,,
Kampffertigkeiten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name der Fertigkeit,,,Lehrer,,,,,,,,Beschreibung,,,,,,,,,,,,Kosten
,,,,,,,,,,,,,,,,,,,,,,,
Schildführung,,,"1. Alrik jeden
2. Wulfgar alle außer Söldnern
3. Jarvis Söldner",,,,"4. Cedrik lehrt Paladine
5. Gor Na Kosh nur SŚ",,,,--> Klicke hier um separate Schild-Kategorie anzuzeigen <--,,,,,,,,,,,,5 - 126 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Orkwaffen-Beherrschung,,,"1. Trainierender Ork in der Orkmine wenn wir seinen Bruder in der Arena für 10LP besiegen
2. Ur-Karras wenn wir ihn in Kap. 1-2 in Khorinis gerettet haben für 10LP
3. Ur-Azog lehrt nur Schamanen für 15LP bereits in Kap. 1",,,,,,,,"% Beherrschung hat immer 90% 2H Animationen
Kritische Trefferchance ist weiterhin angemessen zur % Beherrschung",,,,,,,,,,,,10 / 15 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Kampf mit zwei Waffen,,,"1. Gonzales (Nach Überbringen der Notiz vom Banditen Hannibal, der sich in den neuen Gebieten neben Xardas befindet)
2. Notiz ""Tanz der zwei Klingen"" (Im Assassinenwald von Tiamant)",,,,,,,,"keine Schwellen 30/60/90%, zweite Stufe beschleunigt Animation
% Beherrschung bezieht sich auf gewählte 1H oder 2H Beherrschung des Spielers",,,,,,,,,,,,15 + 15 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Durchschlagender Schuss,,,"Lehrt Raff nach Beitritt zu den Jägern (150 Geschick, 45% Bogen, Kap. 2)
Lehrt Eugene nach Beitritt zu den Kundschaftern (135 Geschick, 45% Bogen, Kap. 2)",,,,,,,,"Must have für Bogenschützen
Erhöht Rüstungsdurchschlag, wichtig gegen Skelette / Golems / Trolle",,,,,,,,,,,,"30 LP
8000 Gold"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ausweichschance beim Bogenhalten +20%,,,"Lehrt Raff nach Beitritt zum Jägerlager in Khorinis
(300 Geschick, 50% Bogen, Kap. 2)",,,,,,,,"Must have für Bogenschützen
Ausweichen hilft sicher beim Überleben von Kämpfen",,,,,,,,,,,,5 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Diebesfertigkeiten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name der Fertigkeit,,,Lehrer,,,,,,,,Beschreibung,,,,,,,,,,,,Kosten
,,,,,,,,,,,,,,,,,,,,,,,
Akrobatik,,,"In SNC-Modi ohne LP mindestens 150 Geschicklichkeit erforderlich.
1. Cassia (ab 100 Geschicklichkeit)
2. Hart (ab 70 Geschicklichkeit, nach Sieg in der Arena und Schwert-Rückgabe)
3. Allen nach Beitritt zu den Kundschaftern für 8 LP",,,,,,,,"Lohnt sich für jede Charakterklasse.
Um Geschicklichkeitsanforderung zu erfüllen reicht es, Gürtel und Geschicklichkeits-Schmuck anzulegen.",,,,,,,,,,,,10 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Schlösser mit Geschick öffnen,,,"In SNC-Modi ohne LP mindestens 75 Geschicklichkeit erforderlich
1. Ramirez (nach Gildenbeitritt) 
2. Thorben nach Rückgabe von Lehmars Buch oder als Mitglied einer ""guten"" Gilde",,,,,,,,"Lernen wir nur bei Geschicklichkeits-Charakteren.
Ab 100 Geschicklichkeit kann man mit Shift+Y einbrechen",,,,,,,,,,,,5 LP
,,,,,,,,,,,,,,,,,,,,,,,
Schlösser mit Kraft aufbrechen,,,"In SNC-Modi ohne LP mindestens 75 Stärke erforderlich
Carl",,,,,,,,Must have für Stärke-Charaktere.,,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
Schlösser mit Magie öffnen,,,"Gallahad nach Wahl der Magieschulung bei ihm.
Kriegergilde / keine Gilde benötigt 125 Mana und 1. Kreis
Magiergilde benötigt 75 Mana und 1. Kreis",,,,,,,,"Magier nutzen Öffnungsrune von Gallahad.
Runennutzung kostet 75 Mana",,,,,,,,,,,,5 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Schleichen,,,"In SNC-Modi ohne LP mindestens 50 Geschicklichkeit erforderlich
1. Bartok 
2. Jasper (nach Beitritt zu den Dieben)
3. Allen nach Beitritt zu den Kundschaftern für 3 LP",,,,,,,,"Fertigkeit gibt uns 2 Geschicklichkeit
Gibt 10% Chance auf Taschendiebstahl, wenn wir schleichen",,,,,,,,,,,,4 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Taschendiebstahl,,,"In SNC-Modi ohne LP mindestens 70 Geschicklichkeit erforderlich
1. Cassia (nach Beitritt zur Diebesgilde)
2. Bill (im Piratenlager)",,,,,,,,"Fertigkeit gibt uns 10 Geschicklichkeit
Rentiert sich nur bei Geschicklichkeits-Charakteren (Bei 10LP/Level rentiert es sich immer)",,,,,,,,,,,,10 LP
,,,,,,,,,,,,,,,,,,,,,,,
Jägerfertigkeiten,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name der Fertigkeit,,,Lehrer,,,,,,,,Beschreibung,,,,,,,,,,,,Kosten
,,,,,,,,,,,,,,,,,,,,,,,
Fleisch gewinnen,,,Alwin,,,,,,,,"Must have für jeden Charakter. Stärke-Charaktere lassen es für Kuchen liegen, der Rest verkauft es an Kardif. Wird auch für mehrere Missionen benötigt",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Häuten,,,"1. Bosper für 4 LP
2. praktisch jeder Jäger",,,,,,,,"Must have für jeden Charakter.
Benötigt für viele Missionen, Verbesserungen und Verkauf an Alfred / Bosper",,,,,,,,,,,,5 LP
,,,,,,,,,,,,,,,,,,,,,,,
Flügel ausreißen,,,"In SNC-Modi ohne LP mindestens 20 Jagdfähigkeiten und 40 Geschicklichkeit erforderlich
1. Gaan (nach Zahlung von 100 Gold)
2. Grimbald (Nach Kampf mit Snappers) ",,,,,,,,"Lernen wir nur als Constantinos Lehrling, da er sie aufkauft.
Benötigt für Sturz-Schutztränke",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Stachel entfernen,,,"In SNC-Modi ohne LP mindestens 25 Jagdfähigkeiten und 35 Geschicklichkeit erforderlich
1. Kostenlos aus Buch für Quest ""Dragomirs Armbrust""
2. Gaan (nach Zahlung von 100 Gold)
3. Grimbald (Nach Kampf mit Snappers)",,,,,,,,"Da kostenlos, must have für jeden Charakter.
Constantino kauft sie auf, benötigt für Missionen und Heiltränke",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Krallen ausreißen,,,"In SNC-Modi ohne LP mindestens 10 Jagdfähigkeiten und 20 Geschicklichkeit erforderlich
1. Gaan (nach Zahlung von 100 Gold) 
2. Grimbald (Nach Kampf mit Snappers) 
3. Alfred (nach Beitritt zu den Jägern)",,,,,,,,"Must have. Benötigt für Verbesserungen und Herstellung bestimmter Rüstungen
Alfred kauft sie auf",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reißzähne/Zähne ausreißen,,,"In SNC-Modi ohne LP mindestens 15 Jagdfähigkeiten und 30 Geschicklichkeit erforderlich
1. Gaan (nach Zahlung von 100 Gold)
2. Alfred (nach Beitritt zu den Jägern)
3. Grom (Quest ""Hungriger Jäger"")
4. Ur-Karras (Quest mit Muritans Reißzahn) [Kostenlos, aber lohnt sich nicht zu warten]",,,,,,,,"Must have. Benötigt für Verbesserungen und Herstellung bestimmter Rüstungen
Alfred kauft sie auf",,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reptilien häuten,,,"In SNC-Modi ohne LP mindestens 30 Jagdfähigkeiten und 50 Geschicklichkeit erforderlich
1. Alfred (nach Beitritt zu den Jägern)
2. Jack Aligator in Jharkendar",,,,,,,,"Must have. Benötigt für Verbesserungen und Herstellung bestimmter Rüstungen
Alfred kauft sie auf",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Zungen herausschneiden,,,"In SNC-Modi ohne LP mindestens 60 Jagdfähigkeiten und 40 Geschicklichkeit erforderlich
1. Grom (Quest ""Hungriger Jäger"")
2. Gestath",,,,,,,,"Must have für jeden Charakter.
Benötigt für Herstellung von Feuerresistenz-/Manatränken.",,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
Schattenwesen-Hörner entfernen,,,"In SNC-Modi ohne LP mindestens 50 Jagdfähigkeiten und 65 Geschicklichkeit erforderlich
Grom (Quest ""Hungriger Jäger"")",,,,,,,,"Must have für jeden Charakter. Nicht an Alfred verkaufen!
Benötigt für Verbesserungen und Verkauf an Buster für EP+Gold.",,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
Kiefer entfernen,,,"In SNC-Modi ohne LP mindestens 5 Jagdfähigkeiten und 15 Geschicklichkeit erforderlich
1. Grom (Quest ""Hungriger Jäger"")
2. Grimbald (Nach Kampf mit Snappers)
3. Constantino (nur eigene Lehrlinge) ",,,,,,,,"Benötigt für Quest von Baal Tyon (nur Guru / SŚ)
Constantino kauft sie auf, benötigt für Verbesserungen",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Herzen herausschneiden,,,"In SNC-Modi ohne LP mindestens 70 Jagdfähigkeiten und 50 Geschicklichkeit erforderlich
Grom (Quest ""Hungriger Jäger"")",,,,,,,,"Must have. Benötigt für HP-Tränke, Golem-Herz-Resistenz, Runenherstellung
Golemherzen kauft Constantino auf, Dämonenherzen Xardas / Kreol",,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
"Drachenschnapper-
Hörner entfernen",,,"In SNC-Modi ohne LP mindestens 55 Jagdfähigkeiten und 55 Geschicklichkeit erforderlich
Grimbald (Nach Kampf mit Snappers)",,,,,,,,"Benötigt für Schmuck-Verbesserungen, bestimmte Quests
Alfred kauft sie auf",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Lurker-Häute abnehmen,,,"In SNC-Modi ohne LP mindestens 45 Jagdfähigkeiten und 40 Geschicklichkeit erforderlich
1. Grimbald (Nach Kampf mit Snappers) 
2. Wilk nach Annahme der Quest für Barems Rüstung",,,,,,,,"Must have. Benötigt für Verbesserungen und Herstellung bestimmter Rüstungen
Alfred kauft sie auf",,,,,,,,,,,,2 LP
,,,,,,,,,,,,,,,,,,,,,,,
Drachenblut gewinnen,,,"In SNC-Modi ohne LP mindestens 50 Jagdfähigkeiten und 50 Geschicklichkeit erforderlich
Gestath
(Lernkosten sinken auf 0 LP für Quest ""Herz der Harpien-Königin"")",,,,,,,,Must have. Benötigt für Schwarzerz-Schmuck. Nicht an Jan verkaufen!,,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
Drachenschuppen gewinnen,,,"In SNC-Modi ohne LP mindestens 50 Jagdfähigkeiten und 50 Geschicklichkeit erforderlich
Gestath
(Lernkosten sinken auf 2 LP für Quest ""Herz der Harpien-Königin"")",,,,,,,,"Nutzen wir erst am Ende von Irdorath für Rüstungsproduktion.
Söldner können Schuppen an Bennet verkaufen.",,,,,,,,,,,,3 LP
,,,,,,,,,,,,,,,,,,,,,,,
Schmiedekunst / Bergbau,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name der Fertigkeit,,,Lehrer,,,,,,,,Beschreibung,,,,,,,,,,,,Kosten
,,,,,,,,,,,,,,,,,,,,,,,
Gold schürfen,,,"1. Finn
2. Scatty",,,,,,,,Must have. Riesiger Geldzufluss in Zehntausenden von Münzen. Außerdem hilfreich für mehrere Quests und Verbesserungsmodus.  ,,,,,,,,,,,,3LP
"Magisches Erz und 
Eisen schürfen",,,"1. Snipes (Schmiedekunst lernen, mit Harad sprechen, mit Schlange sprechen)
2. Grimes (Marcos' Mine in GD) 
3. Clovis (kostenlos in Quest ""Tägliche Erzportion"")",,,,,,,,"Must have. Ohne das verlieren wir viel Geld, Verbesserungsmöglichkeiten und blockieren uns mehrere Dinge durch Erzmangel.",,,,,,,,,,,,3LP
Erz schmelzen,,,"Schlange in der Hafentaverne (Schmiedekunst lernen, mit Harad sprechen)",,,,,,,,Must have. Ohne das können wir geschürfte Brocken nicht verwerten,,,,,,,,,,,,"3LP
800 Gold"
Gold schmelzen,,,"1. (Kann kostenlos aus Buch in verlassener Mine gelernt werden)
2. Crimson 
3. Buch bei Scatty für 4500 Gold kaufbar",,,,,,,,"Da kostenlos, must have. Brocken nicht an Crimson geben!
Barren werden für Münzprägung, Schmuck und Verbesserungen benötigt",,,,,,,,,,,,2LP
Orkwaffen schmelzen,,,"Dobar (Muss in Kap. 2 oder 3 gelernt werden, ab Kap. 4 ist Dobar tot)",,,,,,,,"Must have. Für 1LP erhalten wir riesige Eisenmengen, wenn wir GD/Khorinis erst in Kap. 4 säubern.",,,,,,,,,,,,"1LP
10 m.Erz"
Waffen schärfen,,,"1. Brian
2. Hodges",,,,,,,,"Erhöht Schaden um 8% (12% nach Verbesserung aus GD-Festung)
Schärfen mit Numpad 9",,,,,,,,,,,,3LP
Schmiedekunst,,,"1. Carl
2. Bennet (Söldner)
3. Harad (Lehrlinge)",,,,,,,,"Must have für jeden Charakter wenn wir Waffen oder Pfeile / Bolzen schmieden wollen.
Um Eisen gut zu nutzen sollte man 1. und 2. Schwert sowie Dietriche schmieden.",,,,,,,,,,,,3LP
Gewöhnliche Schwerter schmieden,,,Harad (Nur Lehrlinge),,,,,,,,"Können in Kap. 1 verwendet werden, ansonsten Einnahmequelle.
Empfohlen so schnell wie möglich bis zum letzten Schwert zu lernen um keine Stäbe zu verschwenden.",,,,,,,,,,,,nur Gold
Schwerter aus magischem Erz schmieden,,,Bennet (Nur Söldner),,,,,,,,"Diese Schwerter haben sehr niedrige Stärkeanforderungen im Verhältnis zum Schaden, wodurch sie in Modi mit begrenzten LP sehr nützlich sein können",,,,,,,,,,,,nur Gold
Säbel schmieden,,,Ramirez (Nur Diebesgilde-Mitglieder),,,,,,,,"Benötigt für Quest von Rączka. Schmiedekunst erforderlich.
Lernen kostenlos aus Rezepten, außer den 3 schwächsten Säbeln, für die wir zahlen",,,,,,,,,,,,nur Gold
Orkwaffen schmieden,,,"Hush-Tor nach Erlernen der Orkwaffen-Beherrschung
(oder nach Tod des Lehrers in der Orkmine)",,,,,,,,"Lernen nur wenn wir mit Orkwaffen spielen wollen.",,,,,,,,,,,,"Brocken
m. Erz"
"Rüstungen
umschmieden",,,"Stufe 1: Carl (Nach Beitritt zum Wasserkreis) / Gilden-Schmiede
Stufe 2: Darrion (In Netbeks Lager in GD) / Gilden-Schmiede",,,,,,,,"Must have für Geschick/Stärke-Charaktere (Roben können nicht umgeschmiedet werden).
ACHTUNG: Wenn wir verbessern (+1/+2), erst nach dem Umschmieden, da Verbesserungen verloren gehen wenn umgekehrt.",,,,,,,,,,,,"1 Stufe 2 LP
2 Stufe 4 LP"
Bögen herstellen,,,Bosper (nur Lehrling nach Bogen-Rückgabe),,,,,,,,"Können in Kap. 1 verwendet werden, ansonsten Einnahmequelle.",,,,,,,,,,,,1 LP
Explosive Pfeile,,,"1. Ignaz(Kap.2)(Nach Quest ""Mensch in Bestiengestalt"")
2. Constantino(Kap.2)(Nach Quest ""Geheimnisvoller Mord"")",,,,,,,,Flächenschaden,,,,,,,,,,,,"10 LP
2500 Gold"
Magische Pfeile,,,Ignaz / Constantino,,,,,,,,Frieren Ziel ein,,,,,,,,,,,,"10 LP
2500 Gold"
Feuerpfeile,,,Ignaz / Constantino,,,,,,,,Zusätzlicher Feuerschaden,,,,,,,,,,,,"8 LP
1500 Gold"
Giftpfeile,,,Nrozas im Assassinenwald / Constantino,,,,,,,,Zusätzlicher Giftschaden,,,,,,,,,,,,"3 LP
3500 Gold"
Keren-Pfeile,,,Bosper (Nur Lehrling) nach Erhalt des Keren-Bogens,,,,,,,,"Must have für Bogen-Charaktere, aber wenn wir nicht Bosperas Lehrling sind, können wir sie nur von ihm kaufen",,,,,,,,,,,,"0 LP
3000 Gold"
"Pfeile herstellen
Bolzen herstellen",,,Niclas / Alfred,,,,,,,,"Must have für Bogen-Charaktere.
Ermöglicht Geldverdienen mit Eisen (Pfeile geben 25 Gold, Dietriche 20 Gold pro Stab)",,,,,,,,,,,,3 LP
"Geweihte Bolzen
Geweihte Pfeile",,,"Zur Auswahl als Belohnung bei Lord Hagen für Quest ""Dunkles Netz""",,,,,,,,"Must have für Bogen-/Armbrust-Charaktere.
Ansonsten lohnt es sich nicht, das zu lernen",,,,,,,,,,,,keine
Magische Fertigkeiten / Sonstige,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name der Fertigkeit,,,Lehrer,,,,,,,,Beschreibung,,,,,,,,,,,,Kosten
,,,,,,,,,,,,,,,,,,,,,,,
Magiekreise,,,"Gallahad (Nach Wahl der Magieschulung, nur erste 3 Kreise, Krieger lernen 2. Kreis in Kap. 2, 3. in Kap. 3)
Parlan (1/2) Karras (3/4) Pyrokar (5/6)
Baal Orun 1-6, Saturas 1-6, Xardas/Kreol 1-6",,,,,,,,"Grundlage für jeden Magier.
Auch als Nicht-Magier ist das Erlernen von 3 Magiekreisen möglich.

Wenn wir mit Stäben / magischen Schwertern spielen, müssen wir trotzdem Kreise lernen,
da diese das magische Schadenspotential unserer Waffe freischalten.
Erst beim 5. Kreis erhalten wir 100% Potenzial.",,,,,,,,,,,,"1. Kreis
10 LP"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"2. Kreis
15 LP"
,,,,,,,,,,,,,,,,,,,,,,,"3. Kreis
20LP"
,,,"Anforderungen für nächsten Kreis bei Magiergilden:
1. Kreis: keine
2. Kreis: Kap. 2 oder 200 Mana
3. Kreis: Kap. 3 oder 400 Mana
4. Kreis: Kap. 4 oder Kap. 3 und 600 Mana
5. Kreis: Kap. 5 oder Kap. 4 und 900 Mana
6. Kreis: Kap. 6 oder Kap. 4 und 1200 Mana",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"4. Kreis
25LP"
,,,,,,,,,,,,,,,,,,,,,,,"5. Kreis
30LP"
,,,,,,,,,,,,,,,,,,,,,,,"6. Kreis
40LP"
HP-Regeneration,,,"1. Vatras
2. Haniar im Assassinenwald in Kap. 3 (0 Gold und 10 LP)",,,,,,,,"Abhängig vom aktuellen maximalen Lebenswert, daher erst ab ~2k HP wirklich effektiv.
Regeneration beschleunigt sich wenn HP unter 10% fallen",,,,,,,,,,,,"12LP
10k Gold"
Mana-Regeneration,,,"Benötigt 2. Kreis oder Kap. 2
1. Vatras
2. Xardas wenn wir Beschwörer werden (8000 Gold und 10 LP)",,,,,,,,Must have für jeden Charakter der regelmäßig Runen nutzt. Die Fertigkeit gibt grundsätzlich 1 Mana/Sekunde + zusätzlich 1 Mana pro Sekunde je 100 Mana.,,,,,,,,,,,,"12LP
10k Gold"
Ausdauer-Regeneration I/II,,,Vatras,,,,,,,,"Regenerationswert ist konstant, daher besten Effekt bei frühem Erlernen.
Erste Stufe gibt 1Pkt/Sek Regeneration
Zweite Stufe gibt 4Pkt/Sek Regeneration (zusammen mit erster Stufe)",,,,,,,,,,,,"5/10LP
3k/10k Gold"
Hitzeresistenz,,,"1. Gonzales (Nach Quest ""Waffe für Gonzales"")
2. Eligors Flamme trinken (Nicht zugeben, Kaufmannsgilde-Mitglied zu sein in Quest ""Gefallen für Jora"")",,,,,,,,"Benötigt in der Adanos-Wüste (Kann umgangen werden durch Reisen zwischen 19-10 Uhr) und im Feuerdrachen-Lager. Definitiv lohnenswert für LP zu lernen, Kälteresistenz durch Eisschutz erhalten. Ausnahme ist Wassermagier, der Eisschutz kostenlos finden kann.",,,,,,,,,,,,4LP
Kälteresistenz,,,"1. Lee (Bei Quest ""Alter Freund Lee"")
2. Eisschutz trinken (Quest von Nefarius)",,,,,,,,"Benötigt im verschneiten GD-Teil und in den Eisigen Orkbergen. Unbedingt lernen wenn wir in diesen Gebieten effektiv agieren wollen. Kann kostenlos erhalten werden durch Quest von Nefarius, nachdem wir Zuris unsere Zusammenarbeit mit Lutero gestehen beim Flammen-Abgeben",,,,,,,,,,,,4LP
