"RHETORIK, SORTIERT NACH SPIELFORTSCHRITT",,,,,,,,,
"Grimes überzeugen, uns den Schlüssel zur Truhe mit Eligors Flamme zu geben
(Benötigt 30 Rhetorik)",,,,,,,,,"Buch ""Kunst der südländischen Verteidigung"" aus dem Regal in Xardas' Altem Turm lesen"
"Onar überzeugen, uns den Atros-Turm kostenlos zu geben
(Benötigt 50 Rhetorik)",,,,,,,,,"Buch ""Schlacht um Varant I"" aus Garonds Gebäude im Minental lesen"
"Hodges überzeugen, uns die Identität von Lothars Mörder zu verraten
(Benötigt 50 Rhetorik)",,,,,,,,,"Buch ""Schlacht um Varant II"" aus Garonds Gebäude im Minental lesen"
"Snipes überzeugen, für uns in der Mine zu arbeiten
(Benötigt 50 Rhetorik und abgeschlossene Quest mit dem Erzsack)",,,,,,,,,"Buch ""Weisheit der Götter III"" aus Garonds Gebäude im Minental lesen"
"Onar erfolgreich zum Handel mit der Kaufmannsgilde überzeugen.
(Dialoge: Vergiss es --> Ich will einfach mehr verdienen --> Das geht dich nichts an)",,,,,,,,,"Buch ""Cornelius' Tagebuch"" lesen"
"Ur-Thrall überzeugen, uns in die Orkmine zu lassen
(Achtung: Dunkle Rituale müssen gemacht und die Quest ""Vermisst"" gestartet sein)",,,,,,,,,"Buch von Lutero für die Quest ""Vertrag mit Onar"" lesen"
"Feros überzeugen, uns für das Finden seines Schwertes zu bezahlen
(Benötigt 50 Rhetorik)",,,,,,,,,"Buch ""Atem des Todes"" lesen, das von Miragul in der Höhle des Schmerzes fällt"
"Vakur-Shack überzeugen, Münzen statt Goldklumpen von uns anzunehmen.
(Benötigt 75 Rhetorik)",,,,,,,,,Beliebiges Pult im Bruderschaftslager im Minental lesen
,,,,,,,,,"Buch ""Kunst des Schießens"" bei Tandor in der GD für 3000 Gold kaufen und lesen"
,,,,,,,,,"Buch ""Gebetbuch des Auserwählten"" von Marduk lesen (nur Paladin)"
,,,,,,,,,"Buch ""Kunst des Kampfes"" lesen, das wir von Velaran nach der Assistenten-Quest erhalten"
,,,,,,,,,"Buch ""Y'Berions Tagebuch"" lesen, das vom Dämon im Bruderschaftslager in der GD fällt"
,,,,,,,,,"Buch ""Nächtliche Schatten"" lesen, das in Nergals Turm nahe Grom liegt (Schlüssel bei Kreol)"
,,,,,,,,,"6 Bücher ""Chroniken von Stonno"" lesen - 6 Rhetorik"
