"Giftherstellung, Stufe 3 (25. Stufe)",,,,,,,,,8LP,,,
"Giftherstellung, Stufe 4 (35. Stufe und 2. Kapitel)",,,,,,,,,12LP,,,
"Giftherstellung, Stufe 5 (40. Stufe und 3. Kapitel)",,,,,,,,,15LP,,,
"Tödliches Gift (4. Giftstufe) - Wenn die Gesundheit des Gegners unter 75% fällt, steigt die Giftstärke um 25%",,,,,,,,,7LP,,,
"Herstellung spezieller Gifte (3. Giftstufe, 25. Charakterstufe)",,,,,,,,,10LP,,,
"Vergiftung von Trollen, Golems, Steinwächtern (3. Giftstufe, 25. Charakterstufe)",,,,,,,,,5LP,,,
"Verlangsamungschance (3. Giftstufe, 35. Charakterstufe)",,,,,,,,,7LP,,,
"Lähmungschance (4. Giftstufe, 30. Charakterstufe)",,,,,,,,,5LP,,,
Sofortschaden beim Treffer,,,,,,,,,3LP,,,
"Anzahl Ladungen auf Waffe, Stufe 1 (1. Giftstufe, 12. Charakterstufe)",,,,,,,,,2LP,,,Spezielle vs. gewöhnliche Gifte
"Anzahl Ladungen auf Waffe, Stufe 2 (2. Giftstufe, 20. Charakterstufe)",,,,,,,,,3LP,,,"Die Stärke spezieller Gifte skaliert mit der Stärke des grundlegenden ""tödlichen Gifts"", daher lohnt es sich am meisten, nach Möglichkeit die Giftarten zu wechseln, obwohl wir ab dem 4. Kapitel hauptsächlich magisches Gift verwenden, wegen der großen Anzahl von Untoten, die im Spiel verstreut sind (funktioniert aber auch gegen normale Gegner).

Spezielles Gift wird immer das tödliche Gift im Schaden übertreffen, vorausgesetzt, wir verwenden es gegen den entsprechenden Gegner."
"Anzahl Ladungen auf Waffe, Stufe 3 (3. Giftstufe, 30. Charakterstufe)",,,,,,,,,5LP,,,
"Anzahl Ladungen auf Waffe, Stufe 4 (4. Giftstufe, 35. Charakterstufe)",,,,,,,,,7LP,,,
"Anzahl Ladungen auf Waffe, Stufe 5 (5. Giftstufe, 45. Charakterstufe, 3. Kapitel)",,,,,,,,,8LP,,,
"Vergiftungschance, Stufe 1 (1. Giftstufe, 15. Charakterstufe)",,,,,,,,,2LP,,,
"Vergiftungschance, Stufe 2 (2. Giftstufe, 25. Charakterstufe)",,,,,,,,,3LP,,,
"Vergiftungschance, Stufe 3 (3. Giftstufe, 35. Charakterstufe)",,,,,,,,,4LP,,,
"Vergiftungschance, Stufe 4 (4. Giftstufe, 45. Charakterstufe)",,,,,,,,,4LP,,,
"Vergiftungschance, Stufe 5 (5. Giftstufe, 50. Charakterstufe, 3. Kapitel)",,,,,,,,,5LP,,,
"Anzahl Gift-Ticks, Stufe 1 (1. Giftstufe, 10. Charakterstufe)",,,,,,,,,3LP,,,
"Anzahl Gift-Ticks, Stufe 2 (2. Giftstufe, 15. Charakterstufe)",,,,,,,,,4LP,,,
"Anzahl Gift-Ticks, Stufe 3 (3. Giftstufe, 25. Charakterstufe)",,,,,,,,,5LP,,,
"Anzahl Gift-Ticks, Stufe 4 (4. Giftstufe, 35. Charakterstufe)",,,,,,,,,6LP,,,
"Anzahl Gift-Ticks, Stufe 5 (5. Giftstufe, 45. Charakterstufe, 3. Kapitel)",,,,,,,,,7LP,,,
"Geschwindigkeit der Gift-Ticks, Stufe 1 (1. Giftstufe, 16. Charakterstufe)",,,,,,,,,3LP,,,
"Geschwindigkeit der Gift-Ticks, Stufe 2 (2. Giftstufe, 28. Charakterstufe)",,,,,,,,,4LP,,,
"Geschwindigkeit der Gift-Ticks, Stufe 3 (3. Giftstufe, 36. Charakterstufe)",,,,,,,,,5LP,,,
"Geschwindigkeit der Gift-Ticks, Stufe 4 (4. Giftstufe, 44. Charakterstufe)",,,,,,,,,6LP,,,
"Geschwindigkeit der Gift-Ticks, Stufe 5 (5. Giftstufe, 50. Charakterstufe, 3. Kapitel)",,,,,,,,,7LP,,,
"Chance auf zusätzliche Vergiftung, Stufe 1 (1. Giftstufe, 25. Charakterstufe)",,,,,,,,,8LP,,,
"Chance auf zusätzliche Vergiftung, Stufe 2 (Herstellung spezieller Gifte, 40. Charakterstufe)",,,,,,,,,12LP,,,
Zusammenfassung LP,,,,,,,,,197,,,
REZEPTE FÜR SPEZIELLE GIFTE:,,,,,,,,,,,,
Magisches (gegen Untote) - nach Übergabe des Necronomicons an Xardas (2-3 Mal ansprechen) oder bei Constantino für 3000 Gold kaufbar,,,,,,,,,,,,
"Ork-Gift (wirksam gegen Orks, Echsenmenschen und Drachen) - nach der Mission ""Orkjagd"" von Falk",,,,,,,,,,,,
Tier-Gift (wirksam gegen alle Tiere und Monster) - neben dem Schwarzen Troll,,,,,,,,,,,,
Universal-Gift (gegen alles) - verfügbar ab 3. Stufe der Giftherstellung und 28. Charakterstufe (3LP) - Herstellung erfordert 1 gewöhnliches Gift und je ein spezielles,,,,,,,,,,,,
