,,,,,,,,,,,,,,,,,,
,,,"Gesundheit: 50
Stärke: 15
Reduzierter Ausdauerverbrauch um 10%",,,"Gesundheit: 30
Geschicklichkeit: 15
Reduzierter Ausdauerverbrauch um 15%",,,,,,,,,,,"Gesundheit: 30
Mana: 30
Intelligenz: 10",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Gold
3. Kapitel
10 LP
2000 Goldstücke",,,Rubinring aus Gold,,,Smaragdring aus Gold,,,Diamantring aus Gold,,,,Opalring aus Gold,,,,Saphirring aus Gold,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 18
Schutz vor Hiebschäden: 10",,,"Geschicklichkeit: 18
Schutz vor Wuchtschäden: 10
Schutz vor Stichschäden: 10",,,Schutz vor jeder Art von Schäden: 20,,,,"Gesundheit: 50
Schutz vor Feuer: 10
Schutz vor Sturz: 3",,,,"Mana: 30
Intelligenz: 15
Schutz vor Magie: 10",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Aus magischem Erz
4. Kapitel
15 LP
3000 Goldstücke",,,Rubinring aus magischem Erz,,,Smaragdring aus magischem Erz,,,Diamantring aus magischem Erz,,,,Opalring aus magischem Erz,,,,Saphirring aus magischem Erz,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 25
Schutz vor Hiebschäden: 15",,,"Geschicklichkeit: 25
Schutz vor Wuchtschäden: 15
Schutz vor Stichschäden: 15",,,Schutz vor jeder Art von Schäden: 30,,,,"Gesundheit: 100
Schutz vor Feuer: 15
Schutz vor Sturz: 4",,,,"Mana: 45
Intelligenz: 25
Schutz vor Magie: 15",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Rubinamulett aus magischem Erz,,,Smaragdamulett aus magischem Erz,,,Diamantamulett aus magischem Erz,,,,Opalamulett aus magischem Erz,,,,Saphiramulett aus magischem Erz,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 30
Schutz vor Hiebschäden: 20",,,"Geschicklichkeit: 30
Schutz vor Wuchtschäden: 20
Schutz vor Stichschäden: 20",,,Schutz vor jeder Art von Schäden: 40,,,,"Gesundheit: 150
Schutz vor Feuer: 20
Schutz vor Sturz: 6",,,,"Mana: 60
Intelligenz: 25
Schutz vor Magie: 20",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Aus schwarzem Erz

Kostenlos aus der Notiz, die von Lord Ginnok während der Aufgabe ""Dunkler Orden"" im 5. Kapitel fällt",,,Glänzender Ring aus schwarzem Erz,,,,,,Schimmernder Ring aus schwarzem Erz,,,,,,,,Kristallring aus schwarzem Erz,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 25
Geschicklichkeit: 25
Schutz vor Sturz: 5",,,,,,"Gesundheit: 100
Schutz vor jeder Art von Schäden: 35",,,,,,,,"Mana: 60
Intelligenz: 30
Schutz vor Magie: 20
Manaregeneration 1 Pkt/Sekunde",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Glänzendes Amulett aus schwarzem Erz,,,,,,Schimmerndes Amulett aus schwarzem Erz,,,,,,,,Kristallamulett aus schwarzem Erz,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 35
Geschicklichkeit: 35
Schutz vor Stichschäden: 30
Schutz vor Sturz: 10",,,,,,"Gesundheit: 200
Schutz vor jeder Art von Schäden: 50",,,,,,,,"Mana: 90
Intelligenz: 35
Schutz vor Magie: 30
Manaregeneration 1 Pkt/Sekunde",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Spezieller Stahlschmuck,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kann nach dem Erlernen von Stahl-/Goldschmuck bei Matteo am Tisch im Reiter ""Spezial"" hergestellt werden",,,,,,,,,,,,,,,,,,
"Wenn nicht geschrieben steht, dass man 2 gleichzeitig tragen kann, bedeutet das, dass man nur 1 tragen kann",,,,,,,,,,,,,,,,,,
Ring des Gräbers,,,Ring der Kraft,,,Ring des Taschendiebs,,,,Ring des Metzgers,,,,,,Ring des Raufbolds,,
,,,,,,,,,,,,,,,,,,
Reduziert Ausdauerverbrauch beim Graben um 50%,,,"Ausdauerregeneration 1/Sek
Gesundheitsregeneration 1/Sek",,,"Erhöht Diebstahlschance um 10%
Kann zwei gleichzeitig getragen werden",,,,Erhöht Waffenbeherrschung jeder Waffe um 4%,,,,,,"Erhöht Waffenbeherrschung 1h und 2h um 7%
Erfordert Goldschmuckherstellung (3. Kap.)",,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ring des Boten,,,,Ring der magischen Energie,,,,,Ring des magischen Schutzes,,,,,,,Ring des Schützen,,
,,,,,,,,,,,,,,,,,,
Reduziert Ausdauerverbrauch beim Laufen um 25%,,,,"Manaregeneration 1/Sek
Kann zwei gleichzeitig getragen werden",,,,,"Magieresistenz und Feuerresistenz um 40
Kann zwei gleichzeitig getragen werden",,,,,,,"Erhöht Armbrust- und Bogenfertigkeit um 7%
Erfordert Goldschmuckherstellung (3. Kap.)",,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Anderer erwähnenswerter Schmuck,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Set der Priesterkaste, insgesamt für das komplette Set:
Mana: 85, Manaregeneration 1 Pkt/Sekunde",,,,,,,,,Schmuck für Stärke zu Spielbeginn,,,,,,,,,
Amulett,,,Ring I,,,Ring II,,,Amulett der Stärke,,,,Ring der Stärke,,,,Ring der größeren Stärke,
Mana: 15,,,Mana: 10,,,Mana: 10,,,Stärke: 5,,,,Stärke: 4,,,,Stärke: 6,
,,,,,,,,,,,,,,,,,,
Besitzt der Boss-Schamane vor der Bibliothek in Jarkendare,,,Liegt in einer Truhe in der Bibliothek in Jarkendare,,,"Erhalten für die Aufgabe ""Gedankengänge"" von Fortuno",,,Liegt in Rączkas Truhe in den Kanälen,,,,"Über dem Eingang zur Höhle geradeaus vom Osttor.
Zu kaufen bei Zuris",,,,"In Dexters Zimmer auf dem Tisch.
Zu kaufen bei Isgaroth.",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Set der Heilerkaste, insgesamt für das komplette Set:
Gesundheit: 260, Gesundheits- und Ausdauerregeneration 1 Pkt/Sekunde",,,,,,,,,Schmuck für Geschicklichkeit zu Spielbeginn,,,,,,,,,
Amulett,,,Ring I,,,Ring II,,,Amulett der Geschickten Hand,,,,Ring des Betrügers,,,,Ring des Betrügers,
Gesundheit: 30,,,Gesundheit: 15,,,Gesundheit: 15,,,"Gesundheit: 10
Geschicklichkeit: 10",,,,Geschicklichkeit: 6,,,,Geschicklichkeit: 6,
,,,,,,,,,,,,,,,,,,
Besitzt Bloodwynn,,,Liegt auf dem Altar im Tempel im Sumpf,,,Erhalten von Fisk für Juans Paket,,,Liegt in Rączkas Truhe in den Kanälen,,,,Liegt in Bromors Zimmer in der linken Truhe,,,,"Für die Aufgabe ""Blutige Kelche""",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Set der Kriegerkaste, insgesamt für das komplette Set:
Stärke: 30, Resistenz gegen physische Schäden: 50",,,,,,,,,Schmuck für Mana zu Spielbeginn,,,,,,,,,
Amulett,,,Ring I,,,Ring II,,,Amulett der Magie,,,Ring der Magie,,,Ring der Sternenmacht,,,Ring der Energie
Stärke: 10,,,Stärke: 5,,,Stärke: 5,,,Mana: 10,,,Mana: 5,,,Mana: 10,,,"Gesundheit: 30
Mana: 10"
,,,,,,,,,,,,,,,,,,
Besitzt Boss-Kapitän Drake am Strand neben den Piraten,,,Liegt in einer Truhe im Tempel mit dem Raben,,,Erhalten vom Eremiten für seine Rücksendung zu den Wassermagiern,,,Verkauft von Isgaroth,,,Von Xardas für ein Gespräch über Lester,,,"Zwischen dem Stein und dem Turm beim verwundeten Ork",,,"Für die Aufgabe
""Parlans Vorwürfe"""
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Set des Boten, insgesamt für das komplette Set:
Geschicklichkeit: 30, Resistenz gegen physische Schäden: 20, Waffenbeherrschungsbonus: 3%",,,,,,,,,Amulett des Jägers,,,,Ring des Morgan,,,,Ring des Rod,
Amulett,,,Ring I,,,Ring II,,,Bogenfertigkeit: 10%,,,,Einhändige Waffenfertigkeit: 5%,,,,Zweihändige Waffenfertigkeit: 5%,
Geschicklichkeit: 10,,,Geschicklichkeit: 5,,,Geschicklichkeit: 5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"In der Schlucht, hinter den Rasierklingen über der Kriecherkönigin",,,"Im Tempel mit Goblins, links über die Brücke von der Eremitenhütte",,,"Im Grab von Quahodron, nahe der Eremitenhütte",,,,,,,,,,,,
,,,,,,,,,"Besitzt der Feldkriecher aus der Mission „Suche".
Dauerhaft von Ben nach „Lange erwartetes Treffen" bei min. 30% Bogen.",,,,Liegt in Hanks Leiche am See in Jarkendare,,,,Erhalten von Rod für die Rückgabe seines Gins,
,,,,,,,,,,,,,,,,,,
Ring der Macht,,,Ring des Faustkämpfers,,,Ring des Narren,,,Amulett der Eichenhaut,,,,Ring der Fertigkeiten,,,,Amulett des Frank,
"Stärke: 6
Geschicklichkeit: 6",,,Erhöht Faustkampfschaden um 20,,,"Erhöht Faustkampfschaden um 20
Gibt Resistenz gegen Fallen",,,"Resistenz gegen Wuchtschäden: 20
(sehr gut zu Beginn des 1. Kapitels, um einen Schlag zu überleben)",,,,Geschicklichkeit: 4,,,,"Stärke: 6
Geschicklichkeit: 6
Gesundheit: 50",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Über dem Eingang zur Höhle neben Kräutersammlern nahe dem schwarzen Troll,,,Gewinn gegen Alrik und Durchsuchung der Leiche,,,Skip gibt es für 20 Flaschen Grog im Piratenlager im 2. Kapitel,,,Im Schatz von Kapitän Greg beim Jägerlager,,,,Am Mastspitze am Bug des Paladinsschiffs.,,,,Fällt von Frank in Jarkendare im Banditenlager 2. Kap.,
,,,,,,,,,,,,,,,,,,
Heilige Aura Innos',,,Heilige Aura Innos',,,Ring des Adanos-Priesters,,,Ring des Fellangor,,,,Ring des Fellangor,,,,Amulett der Sterne,
"Mana: 35
Intelligenz: 35",,,Schutz vor jeder Art von Schäden: 40,,,Gesundheit: 250,,,"Mana: 65
Intelligenz: 30
Gesundheit: 100",,,,"Stärke: 25
Geschicklichkeit: 25",,,,"Stärke: 10, Mana: 15
Geschicklichkeit: 10, Int: 12
Schutz vor jeder Art von Schäden: 15",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Erhält der Feuermagier für die Weihe von Schreinen,,,Nur Paladin und Späher für die Weihe von Schreinen,,,Erhalten für die Mission bei den Goblins in der Wüste Adanos,,,"Erhalten von magischen Gilden während der Aufgabe ""Mora Ulartu""",,,,"Erhalten von Kriegsgilden während der Aufgabe ""Mora Ulartu""",,,,Fällt von Imarah in der Wüste Adanos,
,,,,,,,,,,,,,,,,,,
Edelsteine und ihre Fundorte,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Opal,,,Diamant,,,Smaragd,,,Rubin,,,,Saphir,,,,Mondstein,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HP Schutz vor Feuer und vor Sturz,,,Resistenz gegen jede Art von Schäden,,,Geschicklichkeit und Resistenz gegen Stichschäden,,,Stärke und Resistenz gegen physische Schäden,,,,"Mana, Intelligenz und Resistenz gegen Magie",,,,"Zum Schmieden von
Runischen Sihili
Mondklingen",
Fällt vom Schlächter,,,Truhe in der Krypta mit Geistern neben Fregyar,,,Fällt vom Goblin-Boss in Vinos Brennerei,,,Liegt in Bromors Zimmer in seinem Bordell,,,,Verkauft von Lutero im 1. Kapitel,,,,Fällt von Imarah,
,,,,,,,,,,,,,,,,,,
Von der uralten Kriecherkönigin Westküste,,,In der Haupttruhe des Diebsschatzes,,,Fällt vom Fischkopf-Boss,,,"Fällt von Atramentor, dem Golem in den Ausgrabungen",,,,In der Truhe im Rathaus,,,,"Im Fegefeuer Adanos', nach Abschluss aller Aufgaben in der Großen Pyramide",
,,,,,,,,,,,,,,,,,,
Im Diebsschatz auf der Insel,,,Droppt Amul'Rough vor der Großen Pyramide,,,Gibt Hanna für die Rückgabe von Lehmars Rechnungsbuch,,,Droppt Amul'Sah vor der Großen Pyramide,,,,Gibt uns Saturas nach der Vertreibung des Raben,,,,Im Schatz des Steindrachen,
,,,,,,,,,,,,,,,,,,
Fällt von Dexter,,,Fällt von Kapitän Drake,,,Fällt vom Eisgolem Oktogor im Eisbiom,,,Fällt von Keyron vor dem Raben in Jarkendare,,,,Fällt vom Boss-Alligator in Jarkendare,,,,Im Schatz des Eisdrachen,
,,,,,,,,,,,,,,,,,,
Fällt von Lord Ginnok,,,Fällt von Cor Kalom im Wald der Assassinen,,,Droppt Amul'Sah vor der Großen Pyramide,,,Fällt vom Echsenmenschen-Schamanen an der Westküste,,,,Verfluchter Wächter an der Westküste,,,,,
,,,,,,,,,,,,,,,,,,
Lord Inubis in der Krypta im 5. Kap.,,,Fällt von Keyron vor dem Raben in Jarkendare,,,Im linken Seitengang vor Kardimon im Tempel Adanos',,,Im Belohnungspaket vom 6. Arena-Boss - Wolfgang,,,,Fällt vom Echsenmenschen-Schamanen an der Westküste,,,,,
,,,,,,,,,,,,,,,,,,
Fällt von Grimgash,,,Im rechten Seitengang vor Kardimon im Tempel Adanos',,,Fällt vom Dämon-Boss in den Sümpfen,,,Fällt vom feurigen Schattenwesen bei der Aktivierung der Wüste Adanos',,,,Magier Ahiron in seinem Turm,,,,,
,,,,,,,,,,,,,,,,,,
Im Schatzraum nach dem Sieg über Hoshkar,,,Fällt vom großen Steinwächter nach dem Raben,,,Liegt in einer Truhe in Xardas' versunkenem Turm,,,Fällt von Gazkul in der Wüste Adanos',,,,"In Atramentors Truhe, dem Golem in den Ausgrabungen",,,,,
,,,,,,,,,,,,,,,,,,
In der Stadt der Toten am Ende des Gebiets,,,Fällt vom Krieger im Raum im Tempel der Tränen,,,Fällt von Lord Ulzar 5. Kap.,,,Fällt vom Krieger im Raum im Tempel der Tränen,,,,Von einem der Trollec-Brüder,,,,,
,,,,,,,,,,,,,,,,,,
Im Schatz des Sumpfdrachen,,,Im letzten Raum im Tempel der Tränen,,,"Fällt von Lord Kaddar
(Aufgabe Chromanin)",,,Fällt von Magolemus,,,,In der Truhe in Imarahs Turm,,,,,
,,,,,,,,,,,,,,,,,,
Im Belohnungspaket vom 8. Arena-Boss - Steinmetz,,,Fällt von Teamruk in der Steinfestung in GD,,,Fällt vom ersten Boss in Ravens Alptraum,,,Fällt vom zweiten Boss in Ravens Alptraum,,,,Fällt von Malsur im Tempel der Tränen,,,,,
,,,,,,,,,,,,,,,,,,
,,,Fällt von Malbar in der Steinfestung in GD,,,Fällt vom dritten Boss in Ravens Alptraum,,,In der Truhe des Feuerdrachen,,,,Fällt von Cor Kalom im Wald der Assassinen,,,,,
,,,,,,,,,,,,,,,,,,
,,,In der Truhe in Imarahs Turm,,,Im Schatzraum neben Xardas in Ravens Alptraum (2 Stück),,,Fällt von Lord Mirrat 5. Kap.,,,,2x Fällt von Cor Kalom im Wald der Assassinen,,,,,
,,,,,,,,,,,,,,,,,,
,,,Magier Ahiron in seinem Turm,,,"Fällt von Lord Seng in der Höhle mit ""Drachenverderbnis"" im 3. Kap.",,,Fällt vom zweiten Boss in Ravens Alptraum,,,,Fällt vom Boss der Wüstenschlangen in der Wüste Adanos',,,,Im Schatzraum nach dem Sieg über Hoshkar,
,,,,,,,,,,,,,,,,,,
,,,Ahirons Truhe in seinem Turm,,,Vom Sonnen-Boss auf dem Verlorenen Bruder,,,Fällt vom Dämon in der Orkmine,,,,Fällt von Lord Mirrat 5. Kap.,,,,Im Schatz des Sumpfdrachen,
,,,,,,,,,,,,,,,,,,
,,,In der Truhe des Eisdrachen,,,Im Belohnungspaket vom 8. Arena-Boss - Steinmetz,,,"Fällt von Far-Naga, Ork-Schamane in der Schlucht in Jarkendare",,,,Fällt von Lord Ginnok im 5. Kap.,,,,Im Schatz des Feuerdrachen,
,,,,,,,,,,,,,,,,,,
,,,Lord Inubis in der Krypta im 5. Kap.,,,,,,Im Schatzraum neben Xardas in Ravens Alptraum (2 Stück),,,,Vom Sonnen-Boss auf dem Verlorenen Bruder,,,,Nach dem Sieg über Chel'Drak auf dem Verlorenen Bruder,
,,,,,,,,,,,,,,,,,,
,,,Nach dem Sieg über Chel'Drak auf dem Verlorenen Bruder,,,,,,,,,,Fällt von Kardimon in Jarkendare,,,,Im Belohnungspaket vom 6. Arena-Boss - Wolfgang,
